COMID,CAT_PPT_JAN1953,CAT_PPT_FEB1953,CAT_PPT_MAR1953,CAT_PPT_APR1953,CAT_PPT_MAY1953,CAT_PPT_JUN1953,CAT_PPT_JUL1953,CAT_PPT_AUG1953,CAT_PPT_SEP1953,CAT_PPT_OCT1953,CAT_PPT_NOV1953,CAT_PPT_DEC1953,filename
3917070,179.84,57.32,84.4,37.49,94.89,43.1,0.14,20.74,9.61,59.56,201.05,78.59,PPT1953_CAT_CONUS.zip
3917072,179.16,52.19,80.85,35.56,93.71,42.75,0.1,20.38,8.77,58.91,197.82,77.08,PPT1953_CAT_CONUS.zip
3917082,164.43,56.3,76.62,30.55,87.9,33.47,0.12,14.62,4.57,51.45,181.94,70.72,PPT1953_CAT_CONUS.zip
3917084,172.73,61.14,79.66,33.77,92,33.91,0.24,14.83,7.18,56.01,182.64,71.17,PPT1953_CAT_CONUS.zip
3917100,132.67,23.95,29.34,12.6,72.03,29.75,0.89,8.43,5.29,41.23,80.4,52.31,PPT1953_CAT_CONUS.zip
3917106,156.74,52.3,75.37,29.56,85.62,34.21,0.11,14.84,5.01,50.81,168.65,66.93,PPT1953_CAT_CONUS.zip
3917114,162.92,49.42,65.78,34.52,91.6,34.36,0.21,14.58,7.58,53.71,160.21,68.79,PPT1953_CAT_CONUS.zip
3917130,148.59,46.87,77.03,31.59,86.84,37.95,0.14,15.41,7.6,54.66,148.49,62.15,PPT1953_CAT_CONUS.zip
3917136,146.39,47,71.45,27.16,79.57,31.97,0.14,14.63,4.75,46.52,149.26,60.05,PPT1953_CAT_CONUS.zip
3917138,134.06,40.97,67.72,25.25,73.94,30.86,0.22,14.95,5.89,43.92,120.82,51.1,PPT1953_CAT_CONUS.zip
3917154,172.89,51.37,75.09,35.18,92.91,39.37,0.14,18.05,8.31,56.91,183.13,73.8,PPT1953_CAT_CONUS.zip
3917156,161.45,41.75,61.22,33.57,90.66,37.92,0.12,16.9,7.46,52.1,159.31,71.32,PPT1953_CAT_CONUS.zip
3917158,129.5,25.65,33.33,14.09,73.59,28.62,0.69,8.5,5.02,39.71,86.19,51.56,PPT1953_CAT_CONUS.zip
3917160,144.72,27.16,35.81,15.21,76.06,30.39,0.76,9.14,5.35,41.86,93.58,58.71,PPT1953_CAT_CONUS.zip
3917162,145.09,38.93,69.76,33.32,87.22,37.57,0.1,15.01,6.91,51.29,141.46,62.42,PPT1953_CAT_CONUS.zip
3917164,165.73,43.76,48.66,20.77,85.58,33.06,0.55,15.64,5.94,45.52,131.64,70.5,PPT1953_CAT_CONUS.zip
3917172,170.69,47.86,62.69,27.63,89.69,37.22,0.32,17.78,7.19,51.22,161.01,73.11,PPT1953_CAT_CONUS.zip
3917176,170.57,37.06,82.73,35.19,93.33,32.75,0.4,12.98,4.78,44.77,165,63.71,PPT1953_CAT_CONUS.zip
3917178,159.32,36.88,68.27,37.61,92.15,34.08,0.22,13.69,5.69,47.32,153.92,66.35,PPT1953_CAT_CONUS.zip
3917194,158.45,40.45,113.01,45.6,90.09,32.23,0.27,12.12,3.76,46.19,179.79,58.78,PPT1953_CAT_CONUS.zip
3917198,125.94,23.28,32.94,13.69,71.02,28.27,0.72,8.25,4.79,39.36,83.74,48.13,PPT1953_CAT_CONUS.zip
3917200,109.9,19.85,35.43,13.02,65.12,27.15,0.69,7.68,4.18,37.76,77.46,39.55,PPT1953_CAT_CONUS.zip
3917222,127.62,24.57,35.6,14.63,71.35,27.85,0.63,8.61,4.7,38.7,88.04,47.96,PPT1953_CAT_CONUS.zip
