COMID,CAT_RUN_JAN1986,CAT_RUN_FEB1986,CAT_RUN_MAR1986,CAT_RUN_APR1986,CAT_RUN_MAY1986,CAT_RUN_JUN1986,CAT_RUN_JUL1986,CAT_RUN_AUG1986,CAT_RUN_SEP1986,CAT_RUN_OCT1986,CAT_RUN_NOV1986,CAT_RUN_DEC1986,filename
3917070,77.43,182.94,114.98,58.2,35.68,17.29,8.04,4.02,6.49,3.31,4.97,15.86,RUN1986_CAT_CONUS.zip
3917072,75.46,177.53,112.12,55.54,33.51,16.2,7.5,3.75,6.16,3.23,2.59,14.3,RUN1986_CAT_CONUS.zip
3917082,92.13,175.13,106.92,53,31.08,15.02,6.94,3.53,5.73,2.81,5.53,5.44,RUN1986_CAT_CONUS.zip
3917084,91.26,187.08,112.87,56.32,36.07,17.66,8.18,4.14,6.26,2.98,13.93,15.42,RUN1986_CAT_CONUS.zip
3917106,84.83,162.95,99.49,49.37,28.39,13.77,6.34,3.21,5.28,2.68,4.07,3.67,RUN1986_CAT_CONUS.zip
3917114,66.53,163.19,99.01,49.13,31.12,15.4,7.06,3.55,5.58,2.8,10.57,11.97,RUN1986_CAT_CONUS.zip
3917130,69.69,148.39,90.37,45.13,26.69,13.31,6.02,3.03,4.85,2.6,5.91,5.87,RUN1986_CAT_CONUS.zip
3917136,76.22,147.4,90.64,44.99,24.96,12.01,5.58,2.81,4.58,2.41,1.78,0.97,RUN1986_CAT_CONUS.zip
3917138,62.24,128.06,78.59,39.17,21.59,10.43,4.9,2.42,3.78,2.12,1.49,0.73,RUN1986_CAT_CONUS.zip
3917154,72.32,172.38,107.19,53.15,32.72,15.96,7.36,3.69,5.95,3.06,5.94,13.54,RUN1986_CAT_CONUS.zip
3917156,52.34,146.97,91.96,45.43,26.2,12.88,5.85,2.92,5.18,2.76,2.34,6.19,RUN1986_CAT_CONUS.zip
3917158,3.56,54.65,26.28,12.89,7.42,4.06,1.58,0.77,2.59,1.84,1.44,0.77,RUN1986_CAT_CONUS.zip
3917160,4.09,75.01,37.9,18.69,10.41,5.56,2.32,1.13,3.09,1.97,1.5,0.83,RUN1986_CAT_CONUS.zip
3917162,55.49,134.74,84.8,42.32,23.16,11.61,5.22,2.61,4.4,2.48,2.01,0.91,RUN1986_CAT_CONUS.zip
3917164,23.63,116.71,70.65,34.88,19.17,9.66,4.27,2.12,4.74,2.34,2.03,0.92,RUN1986_CAT_CONUS.zip
3917172,46.1,143.72,89.36,44.28,25.63,12.62,5.73,2.86,5.4,2.72,2.46,6.77,RUN1986_CAT_CONUS.zip
3917176,41.56,136.97,94.41,46.29,24.55,12.36,5.74,2.86,4.63,2.32,2.23,1.13,RUN1986_CAT_CONUS.zip
3917178,44.07,138.31,92.25,46.02,24.77,12.41,5.69,2.85,4.58,2.5,2.25,1.04,RUN1986_CAT_CONUS.zip
3917194,87.35,176.37,125.86,62.98,33.47,16.39,7.83,3.97,4.81,2.57,1.94,1.22,RUN1986_CAT_CONUS.zip
3917198,3.52,50.33,23.85,11.73,6.83,3.76,1.44,0.7,2.41,1.81,1.38,0.75,RUN1986_CAT_CONUS.zip
3917200,3.28,37.81,17.47,8.54,5.16,2.91,1.05,0.51,2.04,1.69,1.27,0.66,RUN1986_CAT_CONUS.zip
3917212,47.36,137.9,88.82,43.62,23.11,11.68,5.43,2.7,4.31,2.28,2.12,1.11,RUN1986_CAT_CONUS.zip
3917214,12.97,76.53,38.56,19.01,10.59,5.52,2.35,1.15,2.87,1.85,1.62,0.79,RUN1986_CAT_CONUS.zip
3917218,3.72,59.23,28.14,13.84,7.94,4.22,1.7,0.83,2.52,1.75,1.48,0.75,RUN1986_CAT_CONUS.zip
3917220,3.76,60.32,28.58,14.07,8.07,4.26,1.74,0.85,2.51,1.73,1.49,0.75,RUN1986_CAT_CONUS.zip
3917228,3.76,60.32,28.58,14.07,8.07,4.26,1.74,0.85,2.51,1.73,1.49,0.75,RUN1986_CAT_CONUS.zip
3917230,2.89,14.55,5.88,2.85,2.18,1.57,0.35,0.15,1.67,1.68,0.83,0.55,RUN1986_CAT_CONUS.zip
3917244,3.02,21.66,9.34,4.57,3.09,1.99,0.56,0.26,1.7,1.69,0.89,0.57,RUN1986_CAT_CONUS.zip
3917250,61.43,158.97,103.79,50.98,26.89,13.5,6.37,3.16,4.61,2.39,2.24,1.19,RUN1986_CAT_CONUS.zip
3917256,3.76,60.32,28.58,14.07,8.07,4.26,1.74,0.85,2.51,1.73,1.49,0.75,RUN1986_CAT_CONUS.zip
3917268,3.76,60.32,28.58,14.07,8.07,4.26,1.74,0.85,2.51,1.73,1.49,0.75,RUN1986_CAT_CONUS.zip
3917272,49.2,138.96,83.95,41.33,21.99,11.13,5.15,2.55,4.21,2.28,2.11,1.05,RUN1986_CAT_CONUS.zip
3917274,3.83,62.49,30.14,14.8,8.42,4.41,1.83,0.89,2.54,1.72,1.46,0.74,RUN1986_CAT_CONUS.zip
3917276,61.84,183.02,123.62,60.26,32.24,15.61,7.52,3.73,4.73,2.75,2.28,1.35,RUN1986_CAT_CONUS.zip
3917278,36.76,127.03,76.43,37.44,20.25,10.06,4.66,2.3,3.81,2.27,1.97,0.98,RUN1986_CAT_CONUS.zip
3917280,3.81,61.95,29.75,14.62,8.33,4.37,1.81,0.88,2.53,1.72,1.47,0.74,RUN1986_CAT_CONUS.zip
3917282,26.81,115.69,71.15,34.69,18.83,9.24,4.33,2.13,3.48,2.15,1.75,0.93,RUN1986_CAT_CONUS.zip
3917284,4.08,70.26,35.7,17.44,9.7,4.95,2.18,1.06,2.65,1.71,1.38,0.72,RUN1986_CAT_CONUS.zip
3917286,4.06,69.85,35.4,17.3,9.63,4.92,2.16,1.05,2.64,1.71,1.38,0.72,RUN1986_CAT_CONUS.zip
3917912,46.31,137.6,86.12,42.53,24.09,11.94,5.39,2.69,4.81,2.62,2.28,3.93,RUN1986_CAT_CONUS.zip
3917914,63.52,128.44,82.39,40.73,22.39,10.75,5.02,2.53,3.82,2.15,1.51,0.75,RUN1986_CAT_CONUS.zip
3917916,67.84,141.98,91.44,45.96,24.98,12.29,5.71,2.85,4.19,2.37,1.75,0.89,RUN1986_CAT_CONUS.zip
3917918,18.62,92.25,56.74,27.85,15.05,7.77,3.44,1.7,3.61,2.05,1.84,0.92,RUN1986_CAT_CONUS.zip
3917920,3.54,53.78,25.82,12.67,7.3,4,1.55,0.75,2.56,1.84,1.42,0.77,RUN1986_CAT_CONUS.zip
3917922,3.36,42.95,20.07,9.92,5.88,3.36,1.22,0.59,2.26,1.88,1.29,0.77,RUN1986_CAT_CONUS.zip
3917946,3.3,23.48,10.43,5.03,3.22,2.05,0.61,0.28,1.8,1.61,0.97,0.54,RUN1986_CAT_CONUS.zip
3917948,3.18,32.95,15.08,7.34,4.53,2.61,0.9,0.43,1.94,1.67,1.23,0.64,RUN1986_CAT_CONUS.zip
