COMID,CAT_RUN_JAN1985,CAT_RUN_FEB1985,CAT_RUN_MAR1985,CAT_RUN_APR1985,CAT_RUN_MAY1985,CAT_RUN_JUN1985,CAT_RUN_JUL1985,CAT_RUN_AUG1985,CAT_RUN_SEP1985,CAT_RUN_OCT1985,CAT_RUN_NOV1985,CAT_RUN_DEC1985,filename
3917070,37.63,80.24,62.97,40.29,28.33,13.79,8.14,3.61,7.21,3.68,7.44,24.47,RUN1985_CAT_CONUS.zip
3917072,39.82,79.37,63.66,31.79,18.02,8.77,5.61,2.34,6.5,3.26,8.27,25.97,RUN1985_CAT_CONUS.zip
3917082,27.07,78.49,59.11,47.57,25.81,12.48,7.24,3.12,6.99,5.2,3.3,14.34,RUN1985_CAT_CONUS.zip
3917084,29.1,78.92,57.43,60.29,33.19,16.23,9.12,4.15,7.78,10.25,8.52,18.41,RUN1985_CAT_CONUS.zip
3917106,29.02,68.31,50.89,38.18,20.9,10.14,6.09,2.56,6.41,4.27,2.3,14.48,RUN1985_CAT_CONUS.zip
3917114,26.69,55.49,40.26,40.69,21.92,10.87,6.49,2.85,6.09,8.14,6.98,12.16,RUN1985_CAT_CONUS.zip
3917130,32.84,48.12,34.04,27.71,15.29,7.61,4.83,2.04,5.63,5.42,3.53,14.63,RUN1985_CAT_CONUS.zip
3917136,31.49,56.46,41.36,26.4,14.7,7.18,4.64,1.82,5.54,2.75,0.84,16.15,RUN1985_CAT_CONUS.zip
3917138,36.61,38.03,25.74,12.98,7.54,3.87,3.04,1.06,4.45,2.47,0.54,19.38,RUN1985_CAT_CONUS.zip
3917154,34.59,70.2,54.54,35.91,19.92,9.77,6.04,2.58,6.37,5.3,7.83,20.57,RUN1985_CAT_CONUS.zip
3917156,30.18,48.76,37.43,18.65,10.84,5.38,3.84,1.47,5.16,2.93,3.84,10.66,RUN1985_CAT_CONUS.zip
3917158,2.73,4.15,2.27,1.03,1.41,0.76,0.79,0.27,2.69,2.21,0.78,0.68,RUN1985_CAT_CONUS.zip
3917160,5.26,6.28,3.3,1.57,1.79,0.89,0.85,0.32,3.1,2.27,0.81,0.71,RUN1985_CAT_CONUS.zip
3917162,29.22,35.61,26.39,15.31,8.78,4.48,3.27,1.25,4.74,2.9,0.85,7.85,RUN1985_CAT_CONUS.zip
3917164,28.31,31.06,16.2,8.06,5.7,2.62,2.17,0.75,4.3,2.56,0.88,0.74,RUN1985_CAT_CONUS.zip
3917172,32.88,51.61,36.55,18.82,11.65,5.61,3.82,1.52,5.29,2.88,4,11.46,RUN1985_CAT_CONUS.zip
3917176,20.74,33.4,29.7,14.84,8.3,4.27,2.8,1.16,4.03,2.68,0.97,0.9,RUN1985_CAT_CONUS.zip
3917178,21.85,32.83,27.31,18.16,10.03,5.14,3.47,1.4,4.39,2.87,0.99,0.8,RUN1985_CAT_CONUS.zip
3917194,34.96,56.48,47.72,30.77,16.37,8.16,4.9,2.14,5.07,3,0.94,8.97,RUN1985_CAT_CONUS.zip
3917198,2.58,3.07,1.72,0.74,1.33,0.68,0.77,0.25,2.47,2.19,0.8,0.68,RUN1985_CAT_CONUS.zip
3917200,1.39,1.68,1,0.38,1.07,0.59,0.73,0.21,2.01,2.13,0.76,0.62,RUN1985_CAT_CONUS.zip
3917230,0.07,0.78,0.52,0.11,0.86,0.54,0.51,0.2,1.68,2.18,0.72,0.56,RUN1985_CAT_CONUS.zip
3917244,0.07,0.87,0.62,0.13,0.87,0.54,0.54,0.2,1.71,2.18,0.78,0.57,RUN1985_CAT_CONUS.zip
3917912,25.53,38.66,30.08,15.27,8.86,4.5,3.37,1.25,4.72,2.85,2.61,6.39,RUN1985_CAT_CONUS.zip
3917914,27.56,30.77,20.4,10.5,6.25,3.02,2.56,0.79,4.43,2.36,3.3,17.07,RUN1985_CAT_CONUS.zip
3917916,35.47,42.63,31.63,19.78,11,5.57,3.8,1.51,4.87,2.82,0.7,15.2,RUN1985_CAT_CONUS.zip
3917918,11.27,16.71,13.19,6.54,4.18,2.17,1.6,0.62,3.32,2.4,0.86,0.77,RUN1985_CAT_CONUS.zip
3917920,2.64,3.97,2.18,0.98,1.39,0.74,0.78,0.26,2.67,2.21,0.78,0.68,RUN1985_CAT_CONUS.zip
3917946,0.06,1.04,0.78,0.12,0.83,0.51,0.65,0.22,1.64,2.13,0.86,0.57,RUN1985_CAT_CONUS.zip
3917948,0.72,1.22,0.76,0.26,0.99,0.56,0.69,0.2,1.93,2.13,0.74,0.6,RUN1985_CAT_CONUS.zip
3917950,0.2,0.84,0.54,0.16,0.92,0.54,0.62,0.2,1.84,2.16,0.7,0.57,RUN1985_CAT_CONUS.zip
