COMID,CAT_RUN_JAN1955,CAT_RUN_FEB1955,CAT_RUN_MAR1955,CAT_RUN_APR1955,CAT_RUN_MAY1955,CAT_RUN_JUN1955,CAT_RUN_JUL1955,CAT_RUN_AUG1955,CAT_RUN_SEP1955,CAT_RUN_OCT1955,CAT_RUN_NOV1955,CAT_RUN_DEC1955,filename
3917070,8.51,25.48,21.68,15.02,7.45,3.96,2.12,1.14,1.95,2.51,26.08,94,RUN1955_CAT_CONUS.zip
3917072,10.03,24.65,19.08,11.58,5.73,3.1,1.69,0.93,1.8,2.4,27.05,95.44,RUN1955_CAT_CONUS.zip
3917082,8.77,29.52,23.09,17.51,8.53,4.54,2.85,1.11,1.59,2.16,15.05,89.37,RUN1955_CAT_CONUS.zip
3917084,15.69,35.98,27.45,20.07,9.92,5.15,3,1.37,1.82,2.23,24.85,92.03,RUN1955_CAT_CONUS.zip
3917100,0.34,0.16,0.42,0.5,0.24,0.26,0.11,0.21,0.91,1.77,2.97,77.29,RUN1955_CAT_CONUS.zip
3917106,9.61,24.27,18.96,15.02,7.3,3.9,2.46,0.98,1.51,2.05,14.75,89.39,RUN1955_CAT_CONUS.zip
3917114,11.34,22.11,16.63,11.82,5.85,3.06,1.76,0.92,1.57,2.09,18.4,87.14,RUN1955_CAT_CONUS.zip
3917130,12.34,17.55,13.4,11.54,5.8,3.01,1.78,0.9,1.56,1.99,15.34,90.17,RUN1955_CAT_CONUS.zip
3917136,14.27,18.84,14.82,13.11,6.33,3.45,2.17,0.86,1.36,1.81,18.35,89.41,RUN1955_CAT_CONUS.zip
3917138,21.76,12.2,9.4,10.4,5.02,2.78,1.65,0.76,1.26,1.53,24.75,90.15,RUN1955_CAT_CONUS.zip
3917154,10.7,23.96,18.35,11.87,5.87,3.13,1.74,0.93,1.71,2.27,23.78,92.2,RUN1955_CAT_CONUS.zip
3917156,4.3,9.91,7.94,4.97,2.41,1.37,0.81,0.5,1.39,2.12,12.81,87.15,RUN1955_CAT_CONUS.zip
3917158,0.32,0.17,0.49,0.57,0.22,0.25,0.12,0.21,0.9,1.69,3.01,73.14,RUN1955_CAT_CONUS.zip
3917160,0.4,0.18,0.52,0.58,0.23,0.23,0.11,0.21,0.95,1.88,3.59,85.75,RUN1955_CAT_CONUS.zip
3917162,8.02,8.98,7.95,8.58,4.51,2.37,1.4,0.74,1.42,1.97,7.65,85.53,RUN1955_CAT_CONUS.zip
