COMID,CAT_PPT_JAN2007,CAT_PPT_FEB2007,CAT_PPT_MAR2007,CAT_PPT_APR2007,CAT_PPT_MAY2007,CAT_PPT_JUN2007,CAT_PPT_JUL2007,CAT_PPT_AUG2007,CAT_PPT_SEP2007,CAT_PPT_OCT2007,CAT_PPT_NOV2007,CAT_PPT_DEC2007,filename
3917070,43.76,119.52,27.53,35.27,19.51,32.31,31.74,8.62,8.88,102.12,47.72,69.15,PPT2007_CAT_CONUS.zip
3917072,43.65,118.99,24.57,34.97,19.21,31.89,31.45,8.72,8.33,100.83,46.55,69.17,PPT2007_CAT_CONUS.zip
3917082,53.03,132.33,22.51,30.38,20.38,36.67,30.06,8.22,7.76,96.56,37.01,70.18,PPT2007_CAT_CONUS.zip
3917084,51.29,128.92,27.33,27.4,18.47,36.25,30.3,8.22,7.03,98.32,40.45,74.71,PPT2007_CAT_CONUS.zip
3917100,45.81,82.6,14.29,24.02,18.31,16.09,36.78,4.87,8.15,90.37,32.06,79.79,PPT2007_CAT_CONUS.zip
3917106,52.76,128.31,20.73,29.54,19.71,35.91,30.04,8.05,7.6,94.2,35.7,72.35,PPT2007_CAT_CONUS.zip
3917114,51.01,117.82,23.98,26.61,17.93,32.07,30.14,7.55,6.87,95.68,40.33,79.07,PPT2007_CAT_CONUS.zip
3917130,53.47,117.01,19.88,26.72,17.46,33.82,30,8.03,6.89,90.62,38.82,84,PPT2007_CAT_CONUS.zip
3917136,50.09,124.98,18.59,27.93,19.04,35.19,30.1,7.33,7.39,91.33,29.58,68.68,PPT2007_CAT_CONUS.zip
3917138,47.11,117.95,16.99,24.54,17.21,33.84,30.17,6.57,6.76,87.38,24.3,69.41,PPT2007_CAT_CONUS.zip
3917154,46.6,118.69,24.47,31.59,18.69,32.03,30.93,8.26,7.74,98.83,44.1,73.1,PPT2007_CAT_CONUS.zip
3917156,47.64,111.61,20.36,30.8,18.75,29.16,30.67,7.61,7.72,95.87,41.54,76.14,PPT2007_CAT_CONUS.zip
3917158,50.71,95.67,18,25.99,18.72,17.02,29.36,5.86,9.26,93.01,37.59,87.37,PPT2007_CAT_CONUS.zip
3917160,45.1,103.59,19.99,25.81,18.6,18.05,33.36,6.12,8.31,95.45,43.12,79.23,PPT2007_CAT_CONUS.zip
3917162,53.06,111.29,16.35,27.47,17.97,31.22,29.87,7.44,7.06,89.12,37.46,85.56,PPT2007_CAT_CONUS.zip
3917164,42.06,106.83,24.53,27.89,18.58,23.16,32.89,7.19,8.11,98.85,43.67,71.58,PPT2007_CAT_CONUS.zip
3917172,42.71,112.26,24.44,30.78,18.82,26.94,32.26,7.76,8.14,99.3,44.69,70.93,PPT2007_CAT_CONUS.zip
3917176,43.62,107.09,16.8,24.69,17.93,25.09,30.87,6.07,6.76,90.21,39.57,82.33,PPT2007_CAT_CONUS.zip
3917178,49.18,108.08,16.83,27,18.71,27.42,30.33,6.44,7.1,91.02,37.87,84.28,PPT2007_CAT_CONUS.zip
3917194,47.24,114.61,14.23,22.96,18.66,35.9,30.16,6.33,6.6,87.03,29.81,79.61,PPT2007_CAT_CONUS.zip
3917198,47.61,89.5,16.39,24.71,17.7,15.9,33.2,5.18,8.56,91,34.22,83.51,PPT2007_CAT_CONUS.zip
3917200,38.32,79.42,14.76,21.68,14.88,14.17,35.5,4.51,6.2,86.56,28.65,70.4,PPT2007_CAT_CONUS.zip
3917222,47.05,94.26,17.92,25.2,17.45,16.46,31.72,5.43,8.52,91.84,36.53,85.97,PPT2007_CAT_CONUS.zip
3917230,42.52,73.65,12.06,15.16,14.52,10.4,38.7,2.94,3.97,80.49,21.11,47.32,PPT2007_CAT_CONUS.zip
3917244,38.09,75.27,13.12,16.41,14.03,10.99,39.47,3.43,4.21,80.64,21.63,46.94,PPT2007_CAT_CONUS.zip
3917266,35.88,75.06,13.85,20.61,14.3,13.6,35.86,4.37,5.49,85.04,26.38,64.67,PPT2007_CAT_CONUS.zip
3917912,49.63,109.47,18.13,29.4,18.61,28.46,30.18,7.15,7.44,93.4,39.42,79.81,PPT2007_CAT_CONUS.zip
3917914,47.67,111.24,17.97,25.35,17.4,33.21,30.59,6.51,7.18,87.76,25.9,60.51,PPT2007_CAT_CONUS.zip
3917916,50.27,116.49,16.73,25.92,17.72,34.06,30.02,7.1,6.85,87.67,30.6,78.83,PPT2007_CAT_CONUS.zip
3917918,46.08,101.76,17.91,25.16,18.28,20.11,30.66,5.87,7.98,91.98,39.15,83.94,PPT2007_CAT_CONUS.zip
3917920,50.51,94.73,17.71,25.83,18.67,16.88,29.84,5.78,9.21,92.77,37.1,86.79,PPT2007_CAT_CONUS.zip
3917922,47.69,82.8,14.16,23.93,18.16,15.29,36.16,4.79,8.51,89.89,31.12,79.55,PPT2007_CAT_CONUS.zip
3917924,47.76,78.95,12.88,22.6,17.75,14.25,36.71,4.33,7.85,88.29,28.57,74.74,PPT2007_CAT_CONUS.zip
3917926,47.64,70.98,10.23,19.09,16.77,12.14,36.46,3.29,5.7,84.58,23.33,62.1,PPT2007_CAT_CONUS.zip
3917946,41.53,80.19,13.29,15.84,14.34,9.92,37.93,2.91,2.94,82.55,24.99,56.19,PPT2007_CAT_CONUS.zip
3917948,36.48,76.29,14.12,20.89,14.43,13.75,35.74,4.41,5.67,85.44,27.01,66.23,PPT2007_CAT_CONUS.zip
3917950,36.18,75.21,13.13,18.62,13.96,11.79,36.2,3.87,4.92,82.72,23.21,55.63,PPT2007_CAT_CONUS.zip
948010046,36.28,72.6,12.27,17.46,13.94,11.41,36.14,3.76,4.7,81.68,21.1,51.48,PPT2007_CAT_CONUS.zip
948010047,38.55,73.11,12.38,18.9,14.66,12.32,36.11,3.87,5.19,83.46,23.41,58.32,PPT2007_CAT_CONUS.zip
948010048,47.64,70.98,10.23,19.09,16.77,12.14,36.46,3.29,5.7,84.58,23.33,62.1,PPT2007_CAT_CONUS.zip
948010089,46.93,80.94,13.71,23.45,17.78,14.8,36.71,4.63,8.29,89.1,29.9,77.59,PPT2007_CAT_CONUS.zip
948010091,46.18,78.83,13.14,22.51,17.34,14.27,36.6,4.39,7.64,88.04,28.54,74.02,PPT2007_CAT_CONUS.zip
948010092,38.22,76.3,13.82,21.21,15.03,13.85,36.04,4.42,6.08,85.9,27.12,67.41,PPT2007_CAT_CONUS.zip
948010095,44.68,71.32,10.71,18.56,16.01,11.88,36.39,3.39,5.41,83.71,22.58,58.9,PPT2007_CAT_CONUS.zip
948010096,36.45,75.31,13.81,20.7,14.47,13.62,35.9,4.37,5.62,85.18,26.46,65.1,PPT2007_CAT_CONUS.zip
