COMID,CAT_RUN_JAN1964,CAT_RUN_FEB1964,CAT_RUN_MAR1964,CAT_RUN_APR1964,CAT_RUN_MAY1964,CAT_RUN_JUN1964,CAT_RUN_JUL1964,CAT_RUN_AUG1964,CAT_RUN_SEP1964,CAT_RUN_OCT1964,CAT_RUN_NOV1964,CAT_RUN_DEC1964,filename
3917070,64.06,57.34,45.05,24.4,14.7,14.49,5.74,2.77,1.47,1.33,2.44,86.65,RUN1964_CAT_CONUS.zip
3917072,63.28,54.79,43.2,21.86,13.37,11.63,4.31,2.04,1.13,1.16,2.33,87.04,RUN1964_CAT_CONUS.zip
3917082,55.93,50.93,44.04,22.16,15.06,26.59,11.44,5.59,2.94,1.76,3.66,94.12,RUN1964_CAT_CONUS.zip
3917084,60.4,56.06,46.8,24.03,17.97,25.81,11.17,5.45,2.88,1.9,6.74,99.58,RUN1964_CAT_CONUS.zip
3917106,54.67,46.86,40.33,20.28,13.55,21.81,9.18,4.48,2.38,1.53,2.97,93.8,RUN1964_CAT_CONUS.zip
3917114,57,48.43,39.51,19.88,14.59,16.56,6.84,3.32,1.79,1.44,5.57,86.73,RUN1964_CAT_CONUS.zip
3917130,55.12,43.99,37.07,18.6,12.85,12.05,4.64,2.22,1.24,1.22,3.52,93.1,RUN1964_CAT_CONUS.zip
3917136,52.88,39.47,33.21,16.69,10.91,16.07,6.45,3.16,1.72,1.19,2.1,96.24,RUN1964_CAT_CONUS.zip
3917138,52.01,31.61,25.07,12.57,8.44,6.72,2.04,1.03,0.65,0.78,1.69,99.87,RUN1964_CAT_CONUS.zip
3917154,60.87,52.44,41.89,21.16,13.96,13.78,5.41,2.59,1.41,1.28,3.68,87.21,RUN1964_CAT_CONUS.zip
3917156,55.08,44.54,35.46,17.91,10.83,8.8,3.11,1.48,0.84,0.96,2.22,75.1,RUN1964_CAT_CONUS.zip
3917158,13.82,11.07,6.29,3.16,2.31,2.79,0.69,0.32,0.27,0.59,1.56,68.99,RUN1964_CAT_CONUS.zip
3917160,17,17.06,9.5,4.8,3.24,3.37,0.92,0.43,0.34,0.63,1.59,67.89,RUN1964_CAT_CONUS.zip
3917162,52.57,39.26,32.95,16.54,10.29,7.53,2.53,1.19,0.7,0.97,2.05,81.71,RUN1964_CAT_CONUS.zip
3917164,37.11,37.11,29.4,14.87,8.54,6.43,2.24,1.13,0.63,0.85,2.17,72.93,RUN1964_CAT_CONUS.zip
3917172,48.65,44.52,35.53,18.09,10.74,8.88,3.22,1.56,0.86,1,2.26,79.05,RUN1964_CAT_CONUS.zip
3917176,41.92,37.55,33.3,16.68,9.83,6.84,2.46,1.18,0.71,1.24,2.91,80.1,RUN1964_CAT_CONUS.zip
3917178,49.39,38.79,32.49,16.33,9.76,7.11,2.45,1.17,0.69,1.06,2.6,73.49,RUN1964_CAT_CONUS.zip
3917194,62.21,45.67,36.73,18.42,11.53,8.19,2.8,1.36,0.8,1.2,3.72,99.54,RUN1964_CAT_CONUS.zip
3917198,14.43,8.27,4.79,2.42,1.94,2.53,0.57,0.28,0.25,0.57,1.46,69.55,RUN1964_CAT_CONUS.zip
3917200,9.29,3.75,2.46,1.24,1.27,2.12,0.39,0.2,0.22,0.55,1.37,69.46,RUN1964_CAT_CONUS.zip
3917212,43.28,36.53,31.46,15.68,9.19,6.46,2.3,1.13,0.67,1.12,2.62,83.65,RUN1964_CAT_CONUS.zip
3917214,25.67,14.5,10.07,5.03,3.4,3.28,0.89,0.45,0.32,0.6,1.63,74.29,RUN1964_CAT_CONUS.zip
3917218,19.13,9.61,5.49,2.75,2.19,2.57,0.6,0.3,0.25,0.55,1.56,71.37,RUN1964_CAT_CONUS.zip
3917220,20.39,9.27,5.31,2.66,2.17,2.53,0.58,0.3,0.25,0.55,1.56,71.94,RUN1964_CAT_CONUS.zip
3917228,20.39,9.27,5.31,2.66,2.17,2.53,0.58,0.3,0.25,0.55,1.56,71.94,RUN1964_CAT_CONUS.zip
3917230,2.17,0.05,0.4,0.21,0.72,1.8,0.25,0.14,0.19,0.53,1.08,61,RUN1964_CAT_CONUS.zip
3917244,2.09,0.06,0.45,0.24,0.79,1.81,0.25,0.15,0.2,0.54,1.14,64.76,RUN1964_CAT_CONUS.zip
3917250,51.68,43.34,37.7,18.75,10.89,7.36,2.7,1.33,0.77,1.23,2.86,87.72,RUN1964_CAT_CONUS.zip
3917256,20.39,9.27,5.31,2.66,2.17,2.53,0.58,0.3,0.25,0.55,1.56,71.94,RUN1964_CAT_CONUS.zip
3917268,20.39,9.27,5.31,2.66,2.17,2.53,0.58,0.3,0.25,0.55,1.56,71.94,RUN1964_CAT_CONUS.zip
3917272,45.59,35.71,30.05,14.95,8.74,6.29,2.2,1.09,0.63,0.98,2.32,84.07,RUN1964_CAT_CONUS.zip
3917274,21.37,9.76,5.58,2.79,2.27,2.58,0.6,0.31,0.25,0.55,1.58,70.87,RUN1964_CAT_CONUS.zip
3917276,52.9,43.58,35.93,17.88,10.43,7.69,2.62,1.27,0.8,1.23,3.55,92.73,RUN1964_CAT_CONUS.zip
3917278,39.25,28.54,22.53,11.22,6.74,5.39,1.72,0.85,0.54,0.85,2.26,82.75,RUN1964_CAT_CONUS.zip
3917280,21.13,9.64,5.51,2.75,2.24,2.57,0.59,0.3,0.25,0.55,1.57,71.13,RUN1964_CAT_CONUS.zip
3917282,35.68,24.02,17.94,8.92,5.64,4.73,1.43,0.71,0.48,0.83,2.32,78.18,RUN1964_CAT_CONUS.zip
3917284,24.9,11.54,6.55,3.26,2.65,2.79,0.68,0.36,0.28,0.58,1.66,67.08,RUN1964_CAT_CONUS.zip
3917286,24.71,11.44,6.49,3.23,2.63,2.77,0.67,0.35,0.27,0.57,1.65,67.27,RUN1964_CAT_CONUS.zip
3917912,52.79,40.37,32.35,16.32,9.91,7.89,2.72,1.28,0.74,0.9,2.18,71.4,RUN1964_CAT_CONUS.zip
3917914,49.66,28.2,22.05,11.1,7.59,7.07,2.09,0.98,0.6,0.55,5.67,107.3,RUN1964_CAT_CONUS.zip
3917916,55.11,38.52,32.13,16.09,10.3,7.63,2.51,1.22,0.74,1,2.07,96.34,RUN1964_CAT_CONUS.zip
3917918,25.73,22.48,18.3,9.19,5.63,4.6,1.47,0.7,0.46,0.87,2.13,74.26,RUN1964_CAT_CONUS.zip
3917920,13.73,10.68,6.08,3.06,2.25,2.75,0.67,0.31,0.26,0.59,1.54,68.97,RUN1964_CAT_CONUS.zip
3917922,12.65,6.22,3.69,1.9,1.63,2.39,0.51,0.25,0.24,0.59,1.33,68.94,RUN1964_CAT_CONUS.zip
3917946,2.63,0.21,0.6,0.24,0.74,1.69,0.33,0.12,0.19,0.51,1.34,59.77,RUN1964_CAT_CONUS.zip
3917948,6.82,2.53,1.83,0.93,1.07,2.02,0.35,0.18,0.21,0.55,1.34,68.99,RUN1964_CAT_CONUS.zip
3917950,3.41,0.8,0.88,0.46,0.92,1.9,0.29,0.16,0.2,0.55,1.3,68.57,RUN1964_CAT_CONUS.zip
3917956,71.69,68.17,61.34,30.54,17.82,10.85,4.31,2.1,1.22,2.11,6.38,98.62,RUN1964_CAT_CONUS.zip
3917958,71.55,71.92,65.08,32.42,18.89,11.35,4.53,2.21,1.27,2.13,14.15,98.63,RUN1964_CAT_CONUS.zip
3917960,69.33,69.67,62.1,30.97,18.12,11.09,4.35,2.13,1.22,2,16.47,97.29,RUN1964_CAT_CONUS.zip
948010089,11.96,5.02,3.07,1.59,1.47,2.29,0.46,0.23,0.23,0.58,1.32,68.72,RUN1964_CAT_CONUS.zip
