COMID,CAT_TAV_JAN2010,CAT_TAV_FEB2010,CAT_TAV_MAR2010,CAT_TAV_APR2010,CAT_TAV_MAY2010,CAT_TAV_JUN2010,CAT_TAV_JUL2010,CAT_TAV_AUG2010,CAT_TAV_SEP2010,CAT_TAV_OCT2010,CAT_TAV_NOV2010,CAT_TAV_DEC2010,filename
3917070,1.68,1.43,1.9,2.52,5.12,10.94,18.02,16.13,13.67,8.92,1.17,0.35,TAV2010_CAT_CONUS.zip
3917072,1.83,1.52,2.03,2.66,5.28,11.12,18.19,16.31,13.81,9.06,1.27,0.48,TAV2010_CAT_CONUS.zip
3917082,0.48,0.58,0.72,1.48,4,9.95,17.08,15.15,12.9,8.04,0.06,-0.89,TAV2010_CAT_CONUS.zip
3917084,0.94,1.01,1.29,2.04,4.48,10.42,17.64,15.78,13.37,8.5,0.6,-0.38,TAV2010_CAT_CONUS.zip
3917106,0.84,0.94,1.22,2,4.56,10.51,17.64,15.75,13.35,8.48,0.46,-0.52,TAV2010_CAT_CONUS.zip
3917114,1.88,2,2.58,3.37,5.9,11.91,18.97,17.12,14.4,9.63,1.77,0.67,TAV2010_CAT_CONUS.zip
3917130,1.85,1.9,2.55,3.38,5.97,11.92,19.1,17.33,14.48,9.64,1.62,0.6,TAV2010_CAT_CONUS.zip
3917136,1.21,1.33,1.77,2.54,5.16,11.12,18.25,16.36,13.89,8.98,0.87,-0.17,TAV2010_CAT_CONUS.zip
3917138,2.02,2.13,2.89,3.67,6.35,12.31,19.46,17.64,14.92,9.97,1.77,0.63,TAV2010_CAT_CONUS.zip
3917154,1.83,1.7,2.23,2.92,5.51,11.41,18.48,16.61,14.03,9.27,1.45,0.54,TAV2010_CAT_CONUS.zip
3917156,2.36,2.33,3.04,3.81,6.48,12.45,19.4,17.51,14.73,10.04,2.2,1.15,TAV2010_CAT_CONUS.zip
3917158,4.85,4.34,5.72,6.71,9.35,15.8,22.08,20.11,16.81,12.41,4.28,3.76,TAV2010_CAT_CONUS.zip
3917160,4.7,4.17,5.57,6.4,8.98,15.31,21.54,19.79,16.59,12.34,4.16,3.63,TAV2010_CAT_CONUS.zip
3917162,2.19,2.29,3.03,3.9,6.56,12.55,19.57,17.77,14.83,10.07,2.1,1.02,TAV2010_CAT_CONUS.zip
3917164,3.91,3.5,4.67,5.52,8.1,14.21,20.96,19.17,16.08,11.52,3.59,2.76,TAV2010_CAT_CONUS.zip
3917172,2.95,2.61,3.49,4.26,6.85,12.84,19.71,17.89,15.06,10.41,2.56,1.74,TAV2010_CAT_CONUS.zip
3917176,3.16,2.94,3.96,4.84,7.39,13.53,20.14,18.36,15.36,10.79,2.99,2.22,TAV2010_CAT_CONUS.zip
3917178,2.63,2.64,3.47,4.34,6.96,13.03,19.79,17.94,15.02,10.4,2.61,1.59,TAV2010_CAT_CONUS.zip
3917194,1.77,1.68,2.32,2.99,5.64,11.54,18.76,16.95,14.23,9.4,1.49,0.56,TAV2010_CAT_CONUS.zip
3917198,4.85,4.48,5.86,6.83,9.48,15.97,22.24,20.29,16.92,12.43,4.32,3.75,TAV2010_CAT_CONUS.zip
3917200,4.79,4.69,6.05,7,9.83,16.37,22.61,20.67,17.07,12.48,4.28,3.69,TAV2010_CAT_CONUS.zip
3917230,4.88,4.92,6.25,7.2,10.13,16.81,23.24,21.35,17.32,12.63,4.18,3.66,TAV2010_CAT_CONUS.zip
3917244,4.9,4.93,6.22,7.19,10.14,16.79,23.17,21.31,17.27,12.67,4.21,3.68,TAV2010_CAT_CONUS.zip
3917912,2.42,2.52,3.26,4.09,6.77,12.79,19.66,17.77,14.92,10.25,2.4,1.27,TAV2010_CAT_CONUS.zip
3917914,2.08,2.17,2.97,3.68,6.44,12.45,19.57,17.72,15.09,9.99,1.9,0.68,TAV2010_CAT_CONUS.zip
3917916,1.89,1.92,2.61,3.42,6.05,11.99,19.15,17.36,14.57,9.69,1.63,0.58,TAV2010_CAT_CONUS.zip
3917918,4.13,3.74,5,5.95,8.53,14.83,21.21,19.37,16.2,11.72,3.76,3.15,TAV2010_CAT_CONUS.zip
3917920,4.85,4.35,5.73,6.72,9.36,15.81,22.1,20.13,16.82,12.42,4.29,3.76,TAV2010_CAT_CONUS.zip
3917946,4.82,4.96,6.29,7.25,10.36,16.89,23.34,21.45,17.37,12.59,4.25,3.71,TAV2010_CAT_CONUS.zip
3917948,4.79,4.72,6.09,7.04,9.9,16.47,22.72,20.79,17.11,12.53,4.27,3.69,TAV2010_CAT_CONUS.zip
3917950,4.87,4.84,6.18,7.13,10.03,16.67,22.98,21.08,17.2,12.61,4.25,3.67,TAV2010_CAT_CONUS.zip
