COMID,CAT_TAV_JAN1948,CAT_TAV_FEB1948,CAT_TAV_MAR1948,CAT_TAV_APR1948,CAT_TAV_MAY1948,CAT_TAV_JUN1948,CAT_TAV_JUL1948,CAT_TAV_AUG1948,CAT_TAV_SEP1948,CAT_TAV_OCT1948,CAT_TAV_NOV1948,CAT_TAV_DEC1948,filename
3917070,1.77,1.63,-1.16,0.75,6.73,12.47,16.03,15.01,13.3,8.21,0.53,-3.91,TAV1948_CAT_CONUS.zip
3917072,1.8,1.64,-0.92,0.98,6.98,12.7,16.19,15.18,13.37,8.31,0.71,-3.8,TAV1948_CAT_CONUS.zip
3917082,1.66,1.7,-1.82,-0.11,6.3,12.13,15.79,14.87,13.55,7.84,0.16,-4.25,TAV1948_CAT_CONUS.zip
3917084,1.66,1.67,-2.01,-0.24,6.01,11.75,15.59,14.59,13.4,7.8,-0.06,-4.36,TAV1948_CAT_CONUS.zip
3917106,1.72,1.71,-1.64,0.07,6.45,12.26,15.92,15,13.62,7.92,0.29,-4.14,TAV1948_CAT_CONUS.zip
3917114,1.74,1.53,-1.15,0.66,6.64,12.33,15.95,14.95,13.33,8.1,0.48,-3.98,TAV1948_CAT_CONUS.zip
3917130,1.85,1.66,-1.22,0.53,6.66,12.36,16.05,15.08,13.55,8.1,0.49,-3.91,TAV1948_CAT_CONUS.zip
3917136,1.8,1.77,-1.54,0.17,6.56,12.4,16.12,15.19,13.82,7.99,0.4,-4.04,TAV1948_CAT_CONUS.zip
3917138,1.93,1.83,-1.42,0.32,6.66,12.46,16.32,15.34,14,8.1,0.5,-3.92,TAV1948_CAT_CONUS.zip
3917154,1.77,1.59,-1.03,0.83,6.82,12.53,16.08,15.07,13.35,8.22,0.6,-3.88,TAV1948_CAT_CONUS.zip
3917156,1.79,1.46,-0.36,1.53,7.35,13.06,16.37,15.41,13.35,8.4,1.06,-3.58,TAV1948_CAT_CONUS.zip
3917158,1.34,1.08,2.46,4.83,9.58,15.57,17.78,17.02,13.84,9.03,2.85,-2.24,TAV1948_CAT_CONUS.zip
3917160,1.34,1.13,2.04,4.29,9.13,15.1,17.38,16.64,13.79,8.91,2.56,-2.34,TAV1948_CAT_CONUS.zip
3917162,1.87,1.57,-0.64,1.13,7.14,12.83,16.32,15.38,13.5,8.29,0.89,-3.66,TAV1948_CAT_CONUS.zip
3917164,1.53,1.2,0.99,3.17,8.35,14.24,16.83,16,13.68,8.69,1.99,-2.88,TAV1948_CAT_CONUS.zip
3917172,1.68,1.4,0.09,2.13,7.69,13.5,16.51,15.6,13.56,8.51,1.4,-3.31,TAV1948_CAT_CONUS.zip
3917176,1.72,1.37,0.57,2.48,7.91,13.73,16.62,15.74,13.64,8.5,1.69,-3.06,TAV1948_CAT_CONUS.zip
3917178,1.79,1.43,0.02,1.86,7.59,13.32,16.51,15.58,13.44,8.45,1.3,-3.39,TAV1948_CAT_CONUS.zip
3917194,1.83,1.9,-1.21,0.43,6.79,12.54,16.36,15.35,13.62,8.09,0.55,-3.86,TAV1948_CAT_CONUS.zip
3917198,1.5,1.35,2.75,5.03,9.87,15.88,18.14,17.4,14.11,9.3,3,-1.98,TAV1948_CAT_CONUS.zip
3917200,1.74,1.69,3.21,5.42,10.36,16.44,18.79,18.04,14.55,9.7,3.24,-1.66,TAV1948_CAT_CONUS.zip
3917230,1.95,2.06,3.81,6,11.08,17.28,19.69,18.95,15.13,10.23,3.58,-1.28,TAV1948_CAT_CONUS.zip
3917244,1.95,2.03,3.76,5.95,11.01,17.2,19.59,18.83,15.07,10.18,3.54,-1.33,TAV1948_CAT_CONUS.zip
3917912,1.81,1.44,-0.25,1.6,7.41,13.1,16.41,15.46,13.34,8.42,1.12,-3.55,TAV1948_CAT_CONUS.zip
3917914,1.9,1.79,-0.85,0.97,7.04,12.98,16.59,15.67,14.09,8.15,0.98,-3.73,TAV1948_CAT_CONUS.zip
3917916,1.91,1.78,-1.25,0.46,6.74,12.49,16.27,15.29,13.78,8.12,0.55,-3.87,TAV1948_CAT_CONUS.zip
3917918,1.54,1.21,1.59,3.73,8.79,14.71,17.2,16.4,13.81,8.8,2.33,-2.6,TAV1948_CAT_CONUS.zip
3917920,1.35,1.1,2.49,4.85,9.61,15.6,17.82,17.06,13.86,9.05,2.86,-2.21,TAV1948_CAT_CONUS.zip
3917946,2.06,2.21,4.01,6.16,11.3,17.52,19.91,19.18,15.29,10.39,3.69,-1.19,TAV1948_CAT_CONUS.zip
3917948,1.75,1.73,3.31,5.52,10.47,16.57,18.94,18.18,14.61,9.77,3.29,-1.6,TAV1948_CAT_CONUS.zip
3917950,1.85,1.87,3.53,5.74,10.74,16.87,19.25,18.46,14.82,9.97,3.41,-1.47,TAV1948_CAT_CONUS.zip
