COMID,CAT_TAV_JAN1987,CAT_TAV_FEB1987,CAT_TAV_MAR1987,CAT_TAV_APR1987,CAT_TAV_MAY1987,CAT_TAV_JUN1987,CAT_TAV_JUL1987,CAT_TAV_AUG1987,CAT_TAV_SEP1987,CAT_TAV_OCT1987,CAT_TAV_NOV1987,CAT_TAV_DEC1987,filename
3917070,-0.8,3.85,2.36,7.35,11.74,15.28,16.33,17.58,16.78,12.13,2.88,-1.38,TAV1987_CAT_CONUS.zip
3917072,-0.72,3.85,2.56,7.57,11.94,15.47,16.54,17.78,16.81,12.27,3.11,-1.24,TAV1987_CAT_CONUS.zip
3917082,-0.97,4.02,2.16,6.69,11.46,14.98,16.14,17.27,16.39,11.69,2.05,-1.73,TAV1987_CAT_CONUS.zip
3917084,-1.11,3.94,1.78,6.46,11.13,14.63,15.79,16.95,16.38,11.51,2.03,-1.94,TAV1987_CAT_CONUS.zip
3917100,0.27,3.53,6.09,11.62,14.21,18.63,18.64,20.57,16.52,14.03,5.8,1.08,TAV1987_CAT_CONUS.zip
3917106,-0.81,4.07,2.27,6.86,11.58,15.11,16.27,17.42,16.48,11.78,2.27,-1.6,TAV1987_CAT_CONUS.zip
3917114,-0.8,3.8,2.37,7.28,11.61,15.19,16.2,17.49,16.52,11.95,2.9,-1.3,TAV1987_CAT_CONUS.zip
3917130,-0.57,4.04,2.31,7.15,11.7,15.21,16.39,17.58,16.6,11.93,2.89,-1.33,TAV1987_CAT_CONUS.zip
3917136,-0.64,4.25,2.39,7.02,11.71,15.25,16.44,17.6,16.66,11.88,2.37,-1.52,TAV1987_CAT_CONUS.zip
3917138,-0.41,4.45,2.39,7.16,11.79,15.31,16.55,17.73,16.9,11.95,2.63,-1.45,TAV1987_CAT_CONUS.zip
3917154,-0.76,3.83,2.47,7.43,11.79,15.34,16.39,17.65,16.69,12.13,3.01,-1.28,TAV1987_CAT_CONUS.zip
3917156,-0.51,3.72,3.08,8.13,12.23,15.87,16.76,18.13,16.7,12.48,3.61,-0.73,TAV1987_CAT_CONUS.zip
3917158,0.02,3.27,5.92,11.42,13.91,18.29,18.15,20.14,16.28,13.8,5.54,0.94,TAV1987_CAT_CONUS.zip
3917160,-0.09,3.34,5.43,10.92,13.57,17.83,17.82,19.8,16.41,13.76,5.32,0.65,TAV1987_CAT_CONUS.zip
3917162,-0.37,3.94,2.83,7.74,12.09,15.67,16.73,18,16.69,12.27,3.41,-0.86,TAV1987_CAT_CONUS.zip
3917164,-0.32,3.43,4.52,9.84,13.01,17.02,17.29,19.03,16.46,13.24,4.61,0.11,TAV1987_CAT_CONUS.zip
3917172,-0.49,3.63,3.6,8.77,12.5,16.28,16.93,18.43,16.63,12.78,3.92,-0.48,TAV1987_CAT_CONUS.zip
3917176,-0.26,3.67,4.01,9.13,12.7,16.57,17.09,18.68,16.7,12.89,4.31,0,TAV1987_CAT_CONUS.zip
3917178,-0.31,3.74,3.44,8.48,12.43,16.14,16.94,18.37,16.71,12.62,3.91,-0.38,TAV1987_CAT_CONUS.zip
3917194,-0.34,4.28,2.52,7.21,11.84,15.4,16.62,17.73,16.9,11.96,2.73,-1.29,TAV1987_CAT_CONUS.zip
3917198,0.26,3.49,6.01,11.53,14.16,18.54,18.53,20.46,16.47,13.92,5.68,1.04,TAV1987_CAT_CONUS.zip
3917200,0.57,3.75,6.21,11.76,14.57,18.99,19.13,20.97,16.79,14.03,5.81,1.16,TAV1987_CAT_CONUS.zip
3917222,0.21,3.46,5.89,11.4,14.06,18.39,18.38,20.31,16.46,13.86,5.58,0.99,TAV1987_CAT_CONUS.zip
3917230,0.87,4.06,6.54,12.13,15.11,19.64,19.97,21.72,17.29,14.16,6.01,1.35,TAV1987_CAT_CONUS.zip
3917244,0.85,4,6.51,12.08,15.04,19.55,19.86,21.61,17.18,14.14,5.99,1.33,TAV1987_CAT_CONUS.zip
3917266,0.62,3.79,6.31,11.87,14.68,19.14,19.3,21.12,16.86,14.06,5.86,1.19,TAV1987_CAT_CONUS.zip
3917912,-0.44,3.71,3.16,8.19,12.28,15.93,16.82,18.19,16.7,12.51,3.71,-0.6,TAV1987_CAT_CONUS.zip
3917914,-0.41,4.14,3.29,8.01,12.2,15.95,16.92,18.27,16.74,12.36,3,-0.95,TAV1987_CAT_CONUS.zip
3917916,-0.39,4.3,2.41,7.2,11.82,15.33,16.56,17.74,16.83,11.98,2.82,-1.32,TAV1987_CAT_CONUS.zip
3917918,-0.09,3.45,5.03,10.37,13.35,17.48,17.64,19.45,16.49,13.4,4.99,0.52,TAV1987_CAT_CONUS.zip
3917920,0.04,3.29,5.93,11.43,13.93,18.32,18.19,20.17,16.29,13.81,5.55,0.95,TAV1987_CAT_CONUS.zip
3917922,0.31,3.56,6.12,11.65,14.27,18.69,18.71,20.63,16.51,14.01,5.79,1.09,TAV1987_CAT_CONUS.zip
3917924,0.41,3.65,6.2,11.74,14.41,18.85,18.93,20.81,16.62,14.03,5.84,1.14,TAV1987_CAT_CONUS.zip
3917926,0.58,3.82,6.35,11.9,14.69,19.18,19.38,21.19,16.9,14.06,5.91,1.21,TAV1987_CAT_CONUS.zip
3917946,1.01,4.14,6.58,12.21,15.29,19.83,20.18,21.94,17.44,14.21,6.05,1.42,TAV1987_CAT_CONUS.zip
3917948,0.6,3.78,6.28,11.84,14.65,19.1,19.25,21.08,16.84,14.05,5.84,1.18,TAV1987_CAT_CONUS.zip
3917950,0.73,3.89,6.39,11.96,14.84,19.31,19.53,21.32,16.99,14.11,5.93,1.26,TAV1987_CAT_CONUS.zip
948010046,0.71,3.88,6.4,11.96,14.84,19.32,19.55,21.32,17,14.1,5.93,1.26,TAV1987_CAT_CONUS.zip
948010047,0.65,3.84,6.36,11.92,14.75,19.22,19.42,21.22,16.93,14.08,5.9,1.22,TAV1987_CAT_CONUS.zip
948010048,0.59,3.83,6.36,11.91,14.7,19.19,19.39,21.2,16.91,14.07,5.92,1.22,TAV1987_CAT_CONUS.zip
948010089,0.37,3.61,6.17,11.7,14.35,18.77,18.83,20.73,16.56,14.03,5.82,1.12,TAV1987_CAT_CONUS.zip
948010091,0.43,3.66,6.21,11.75,14.43,18.87,18.96,20.83,16.64,14.04,5.84,1.14,TAV1987_CAT_CONUS.zip
948010092,0.56,3.75,6.28,11.83,14.61,19.06,19.2,21.03,16.79,14.05,5.85,1.17,TAV1987_CAT_CONUS.zip
948010095,0.62,3.84,6.37,11.92,14.74,19.23,19.44,21.24,16.93,14.08,5.92,1.23,TAV1987_CAT_CONUS.zip
948010096,0.6,3.78,6.3,11.86,14.66,19.12,19.28,21.1,16.84,14.05,5.85,1.18,TAV1987_CAT_CONUS.zip
