COMID,CAT_TAV_JAN1983,CAT_TAV_FEB1983,CAT_TAV_MAR1983,CAT_TAV_APR1983,CAT_TAV_MAY1983,CAT_TAV_JUN1983,CAT_TAV_JUL1983,CAT_TAV_AUG1983,CAT_TAV_SEP1983,CAT_TAV_OCT1983,CAT_TAV_NOV1983,CAT_TAV_DEC1983,filename
3917070,1.48,4.72,2.43,2.54,10.06,11.79,15.21,17.71,15.34,9.21,1.55,-0.87,TAV1983_CAT_CONUS.zip
3917072,1.57,4.76,2.64,2.78,10.3,12.03,15.42,17.87,15.42,9.35,1.84,-0.71,TAV1983_CAT_CONUS.zip
3917082,1.3,5.06,2.21,1.9,9.75,11.39,15.19,17.47,15.38,8.85,0.55,-1.29,TAV1983_CAT_CONUS.zip
3917084,1.19,4.86,1.82,1.67,9.37,11.04,14.76,17.19,15.33,8.69,0.53,-1.45,TAV1983_CAT_CONUS.zip
3917106,1.4,5.11,2.33,2.07,9.89,11.54,15.33,17.59,15.46,8.97,0.79,-1.08,TAV1983_CAT_CONUS.zip
3917114,1.44,4.71,2.49,2.5,9.93,11.69,15.14,17.63,15.36,9.12,1.48,-0.77,TAV1983_CAT_CONUS.zip
3917130,1.53,4.98,2.45,2.4,10.01,11.72,15.36,17.7,15.58,9.16,1.51,-0.61,TAV1983_CAT_CONUS.zip
3917136,1.54,5.27,2.45,2.17,10.04,11.68,15.54,17.76,15.52,9.11,0.88,-0.93,TAV1983_CAT_CONUS.zip
3917138,1.71,5.39,2.46,2.27,10.12,11.77,15.67,17.87,15.64,9.25,1.14,-0.69,TAV1983_CAT_CONUS.zip
3917154,1.51,4.74,2.56,2.64,10.13,11.87,15.29,17.76,15.39,9.24,1.67,-0.75,TAV1983_CAT_CONUS.zip
3917156,1.71,4.7,3.22,3.34,10.64,12.43,15.68,18.15,15.36,9.59,2.27,-0.21,TAV1983_CAT_CONUS.zip
