COMID,CAT_PPT_JAN1997,CAT_PPT_FEB1997,CAT_PPT_MAR1997,CAT_PPT_APR1997,CAT_PPT_MAY1997,CAT_PPT_JUN1997,CAT_PPT_JUL1997,CAT_PPT_AUG1997,CAT_PPT_SEP1997,CAT_PPT_OCT1997,CAT_PPT_NOV1997,CAT_PPT_DEC1997,filename
3917070,167.13,49.95,41.63,48.23,33.85,51.44,21.4,35.91,35.37,88.78,63.05,61.25,PPT1997_CAT_CONUS.zip
3917072,164.59,48.97,41.49,47.45,33.71,51.22,21.14,36.4,34.12,87.35,61.13,60.29,PPT1997_CAT_CONUS.zip
3917082,141.82,52.9,35.48,47.08,30.49,51.48,22.22,29.65,32.67,76.44,65.65,43.86,PPT1997_CAT_CONUS.zip
3917084,150.47,56.14,37.67,46.36,29.96,51.37,21.93,30.63,32.83,79.45,69.09,48.22,PPT1997_CAT_CONUS.zip
3917106,139.43,50.72,34.49,45.34,31.68,51.42,22,29.57,31.56,73.59,64.15,42.11,PPT1997_CAT_CONUS.zip
3917114,151.82,52.93,37.77,46.07,32.64,50.95,21.1,30.78,30.45,76.85,63.73,47.91,PPT1997_CAT_CONUS.zip
3917130,149.68,53.69,37.12,41.95,34.36,51.05,21.16,30.28,29.91,74.08,66.85,45.27,PPT1997_CAT_CONUS.zip
3917136,124.84,41.91,29.43,43.33,32.3,51.52,21.98,29.03,29.58,65.19,58.11,35.19,PPT1997_CAT_CONUS.zip
3917138,113.12,33.73,25.02,40.07,33.91,51.49,21.63,28.8,26.92,56.72,52.91,29.22,PPT1997_CAT_CONUS.zip
3917154,159.53,50.66,40.01,46.89,33.22,51.12,21.13,34.14,32.69,83.22,62.32,55.37,PPT1997_CAT_CONUS.zip
3917156,153.82,47.98,38.69,47.29,35.11,50.89,20.73,32.57,30.19,77.54,58.33,49.98,PPT1997_CAT_CONUS.zip
3917158,128.08,34.86,22.89,33.38,32.81,48.6,18.64,29.94,23.52,62.05,49.17,32.61,PPT1997_CAT_CONUS.zip
3917160,133.68,42.54,28.51,38.94,32.27,49.68,19.52,30.45,24.68,66.01,53.74,34.3,PPT1997_CAT_CONUS.zip
3917162,149.1,50.6,36.81,43.49,36.35,50.84,20.78,29.98,28.83,72.57,63.15,44.4,PPT1997_CAT_CONUS.zip
3917164,136.43,48.83,37.27,48.21,33.95,50.4,20.09,30.65,25.24,67.41,60.68,34.81,PPT1997_CAT_CONUS.zip
3917172,148.8,49.05,39.45,48.23,34.14,50.73,20.56,32.98,29.13,76.03,60.79,45.89,PPT1997_CAT_CONUS.zip
3917176,147.93,46.99,36.55,47.51,34.41,49.92,19.84,30.12,27.17,73.75,56.54,42.1,PPT1997_CAT_CONUS.zip
3917178,149.69,48.79,37.22,47.91,36.68,50.39,20.28,29.94,28.15,73.79,61.11,44.32,PPT1997_CAT_CONUS.zip
3917194,141.29,49.33,35.39,46.16,35.25,51.04,21.23,29.19,29.59,70.66,68.11,40.32,PPT1997_CAT_CONUS.zip
3917198,124.99,33.97,18.66,28.31,30.76,48.3,17.64,29.83,22.83,61.19,48.35,31.5,PPT1997_CAT_CONUS.zip
3917200,116.7,35.46,11.01,20.86,26.69,47.27,14.32,29.42,21.91,58.63,47.98,29.36,PPT1997_CAT_CONUS.zip
3917212,141.87,45.4,34.77,45.93,31.55,49.3,19.16,30.39,26.56,70.99,55.89,41.7,PPT1997_CAT_CONUS.zip
3917214,126.36,35.85,20.77,31.06,28.46,47.81,17.19,30.09,22.95,59.25,48.76,32.76,PPT1997_CAT_CONUS.zip
3917218,125.56,33.18,17.45,27.65,28.9,47.69,17.06,30,22.5,58.36,47.07,31.22,PPT1997_CAT_CONUS.zip
3917220,124.97,32.79,16.17,26.3,27.98,47.48,16.69,30.02,22.27,57.49,46.58,30.9,PPT1997_CAT_CONUS.zip
3917228,124.97,32.79,16.17,26.3,27.98,47.48,16.69,30.02,22.27,57.49,46.58,30.9,PPT1997_CAT_CONUS.zip
3917230,100.23,27.61,4.5,16.48,26.53,46.13,17.24,30.02,20.65,57.26,50.47,26.19,PPT1997_CAT_CONUS.zip
3917244,101.48,26.93,5.9,17,26.8,46.01,17.15,29.68,20.83,57.41,50.1,26.41,PPT1997_CAT_CONUS.zip
3917250,145.24,47.03,36.69,48.12,30.64,49.39,19.18,30.61,27.49,73.3,57.14,44.77,PPT1997_CAT_CONUS.zip
3917256,124.97,32.79,16.17,26.3,27.98,47.48,16.69,30.02,22.27,57.49,46.58,30.9,PPT1997_CAT_CONUS.zip
3917268,124.97,32.79,16.17,26.3,27.98,47.48,16.69,30.02,22.27,57.49,46.58,30.9,PPT1997_CAT_CONUS.zip
3917272,137.39,45.55,34.91,45.98,30.19,49.03,18.86,30.45,26.09,68.48,55.88,41.15,PPT1997_CAT_CONUS.zip
3917274,126.11,32.71,16.5,26.58,27.77,47.45,16.81,30.18,22.19,56.83,47.18,30.97,PPT1997_CAT_CONUS.zip
3917276,149.98,53.12,51.47,62.01,28.51,49.69,18.74,33.93,27.06,73.06,74.87,47.89,PPT1997_CAT_CONUS.zip
3917278,135.78,44.55,35.83,46.32,28.76,48.72,18.11,31.65,24.86,65.31,60.3,39.54,PPT1997_CAT_CONUS.zip
3917280,125.83,32.73,16.41,26.51,27.82,47.45,16.78,30.14,22.21,56.99,47.03,30.95,PPT1997_CAT_CONUS.zip
3917282,137.87,41.15,32.09,42.25,27.59,48.31,17.78,32.18,23.97,62.15,60.31,38,PPT1997_CAT_CONUS.zip
3917284,130.2,32.44,17.68,27.58,27.05,47.35,17.27,30.76,21.94,54.5,49.32,31.22,PPT1997_CAT_CONUS.zip
3917286,129.98,32.45,17.61,27.52,27.08,47.35,17.24,30.72,21.95,54.62,49.2,31.2,PPT1997_CAT_CONUS.zip
3917912,151.66,47.28,37.54,46.78,35.79,50.74,20.6,31.37,29.27,75.1,56.94,47.87,PPT1997_CAT_CONUS.zip
3917914,112.44,34.15,24.11,35.12,29.21,51.71,22.08,29.02,26.38,53.09,52.44,28.55,PPT1997_CAT_CONUS.zip
3917916,133.01,43.93,31.42,41.98,35.48,51.24,21.29,29.42,28.55,66.29,62.46,37.66,PPT1997_CAT_CONUS.zip
3917918,135.78,41.39,30.3,40.93,33.72,49.2,19.22,29.94,24.87,66.72,53.03,35.95,PPT1997_CAT_CONUS.zip
3917920,127.75,34.76,22.49,32.83,32.68,48.6,18.58,29.92,23.45,62.11,49.13,32.5,PPT1997_CAT_CONUS.zip
3917922,124.32,33.63,17.99,26.27,31.2,48.83,18,29.73,22.79,63.25,48.68,31.47,PPT1997_CAT_CONUS.zip
3917946,104.79,26.42,7.88,10.71,26.29,44.53,16.4,29.84,19.19,52.06,51.98,24.84,PPT1997_CAT_CONUS.zip
3917948,114.64,36.13,9.61,19.49,26.19,47.14,13.64,29.29,21.8,58.62,48.23,28.95,PPT1997_CAT_CONUS.zip
3917950,108.68,29.25,6.67,17.95,26.73,46.69,15.31,29.22,21.33,57.93,49.54,27.58,PPT1997_CAT_CONUS.zip
3917956,171.77,54.99,42.02,52.77,34.39,50.78,20.1,30.89,32.54,89.97,74.59,57.07,PPT1997_CAT_CONUS.zip
3917958,162.01,55.69,45.5,54.96,31.16,51.09,19.59,31.28,31.89,88.58,77.5,58.87,PPT1997_CAT_CONUS.zip
3917960,155.32,57.52,48.37,56.57,30.55,51.18,19.31,31.58,31.1,85.85,84.01,58.12,PPT1997_CAT_CONUS.zip
948010089,122.41,33.59,16.27,24.68,30.59,48.57,17.45,29.64,22.5,62.76,48.59,30.86,PPT1997_CAT_CONUS.zip
