COMID,CAT_RUN_JAN1975,CAT_RUN_FEB1975,CAT_RUN_MAR1975,CAT_RUN_APR1975,CAT_RUN_MAY1975,CAT_RUN_JUN1975,CAT_RUN_JUL1975,CAT_RUN_AUG1975,CAT_RUN_SEP1975,CAT_RUN_OCT1975,CAT_RUN_NOV1975,CAT_RUN_DEC1975,filename
3917070,16.87,101,111.67,72.54,107.52,84.93,42.59,21.44,10.82,10.78,29.46,53.71,RUN1975_CAT_CONUS.zip
3917072,18.01,103.26,116.84,76.84,111.07,72.18,36.14,18.29,9.19,9.95,27.22,51.12,RUN1975_CAT_CONUS.zip
3917082,9.72,95.07,95.55,54.8,89.67,100.42,50,25.96,12.53,13.08,26.58,49.07,RUN1975_CAT_CONUS.zip
3917084,16.54,93.63,90.06,51.51,87.35,112.79,56.34,28.83,14.09,18.45,36.18,56.4,RUN1975_CAT_CONUS.zip
3917100,0.9,3.33,34.91,16.66,8.2,5.74,2.59,1.23,0.83,4.41,1.33,1.72,RUN1975_CAT_CONUS.zip
3917106,10.81,94.65,94.49,56.06,75.59,79.26,39.41,20.53,9.91,11.04,23.4,44.61,RUN1975_CAT_CONUS.zip
3917114,11.92,84.3,92.78,61.78,65.28,74.28,37.17,18.8,9.36,14.34,24.04,43.33,RUN1975_CAT_CONUS.zip
3917130,13.48,92.47,92.72,60.38,48.37,46.4,23.06,11.79,5.87,10.01,18.66,38.89,RUN1975_CAT_CONUS.zip
3917136,15.63,94.89,90.93,54.86,58.62,53.68,26.62,14.1,6.72,8.59,23.23,39.91,RUN1975_CAT_CONUS.zip
3917138,23.24,94.34,84.31,53.07,30.67,17.78,8.74,4.89,2.28,6.81,24.28,34.91,RUN1975_CAT_CONUS.zip
3917154,15.71,95.78,107.03,70.54,93.02,73.93,37.01,18.73,9.37,11.85,26.28,48.32,RUN1975_CAT_CONUS.zip
3917156,7.67,84.87,104.83,75.99,66.83,41.16,20.61,10.32,5.3,7.45,12.13,34.99,RUN1975_CAT_CONUS.zip
3917158,0.86,11.48,48.4,23.31,11.48,7.32,3.47,1.68,1.06,4.39,1.46,1.71,RUN1975_CAT_CONUS.zip
3917160,0.89,18.85,50.31,24.5,12.08,7.7,3.7,1.77,1.09,4.54,1.41,1.89,RUN1975_CAT_CONUS.zip
3917162,8.42,87.64,97.34,68.49,39.83,25.77,12.77,6.49,3.34,6.25,8.09,29.11,RUN1975_CAT_CONUS.zip
3917164,0.94,52.75,73.86,55.58,27.74,15.87,7.97,3.79,2.08,5.31,2.31,23.05,RUN1975_CAT_CONUS.zip
3917172,8.18,75.37,92.77,64.69,63.42,40.96,20.53,10.24,5.25,7.34,13.16,34.64,RUN1975_CAT_CONUS.zip
3917176,9.46,70.23,88.21,57.1,49.11,30.22,15,7.66,3.85,6.11,3.11,13.57,RUN1975_CAT_CONUS.zip
3917178,6.57,78,96.49,68.09,46.18,33.75,16.87,8.47,4.34,6.57,4.37,22.55,RUN1975_CAT_CONUS.zip
3917194,24.55,115.05,105.39,66.77,73.39,51.39,25.63,13.28,6.46,7.99,16.17,35.91,RUN1975_CAT_CONUS.zip
3917198,0.86,9.28,45.86,21.96,10.81,6.9,3.28,1.6,0.99,4.34,1.38,1.63,RUN1975_CAT_CONUS.zip
3917200,0.81,5.51,40.59,19.25,9.44,5.97,2.9,1.45,0.86,4.17,1.28,1.41,RUN1975_CAT_CONUS.zip
3917222,0.85,14.34,51.8,25.02,12.32,7.64,3.69,1.82,1.09,4.31,1.46,1.62,RUN1975_CAT_CONUS.zip
3917230,0.78,1.9,12.44,5.17,2.47,2.28,1.18,0.44,0.37,4.07,1.06,1.23,RUN1975_CAT_CONUS.zip
3917244,0.83,2.02,17.79,7.87,3.81,2.99,1.45,0.64,0.47,4.08,1.17,1.24,RUN1975_CAT_CONUS.zip
3917266,0.8,2.21,35.82,16.88,8.26,5.34,2.59,1.3,0.78,4.15,1.24,1.37,RUN1975_CAT_CONUS.zip
3917912,5.07,80.3,102.48,75.36,54.94,33.25,16.65,8.31,4.32,6.79,8.01,28.98,RUN1975_CAT_CONUS.zip
3917914,23.73,92.19,93.44,62.64,34.35,20.89,10.15,5.66,2.63,6.15,19.53,31.84,RUN1975_CAT_CONUS.zip
3917916,19.86,99.25,92.86,59.65,40.74,29.75,14.72,7.76,3.78,7.11,18.64,35.48,RUN1975_CAT_CONUS.zip
3917918,4.28,37.49,64.84,36.68,25.94,16.12,7.92,3.98,2.12,5.04,2.16,6.18,RUN1975_CAT_CONUS.zip
3917920,0.86,10.86,47.6,22.9,11.28,7.21,3.41,1.65,1.04,4.39,1.44,1.7,RUN1975_CAT_CONUS.zip
3917922,0.89,3.11,37,17.57,8.65,5.89,2.71,1.28,0.86,4.41,1.31,1.66,RUN1975_CAT_CONUS.zip
3917924,0.88,2.08,32.98,15.53,7.64,5.32,2.45,1.14,0.78,4.42,1.24,1.61,RUN1975_CAT_CONUS.zip
3917926,0.86,1.96,22.48,10.27,5.04,3.89,1.81,0.78,0.58,4.44,1.08,1.51,RUN1975_CAT_CONUS.zip
3917946,0.88,2.05,18.95,8.41,3.99,2.97,1.85,0.63,0.43,4.01,1.28,1.31,RUN1975_CAT_CONUS.zip
3917948,0.8,3.19,37.23,17.58,8.6,5.52,2.68,1.34,0.8,4.15,1.25,1.38,RUN1975_CAT_CONUS.zip
3917950,0.79,2.18,28.17,13.02,6.36,4.34,2.11,1.02,0.64,4.14,1.14,1.31,RUN1975_CAT_CONUS.zip
948010046,0.77,2.08,24.64,11.27,5.5,3.9,1.88,0.88,0.59,4.14,1.1,1.29,RUN1975_CAT_CONUS.zip
948010047,0.8,2.1,28.07,13.01,6.36,4.39,2.11,1,0.65,4.2,1.14,1.36,RUN1975_CAT_CONUS.zip
948010048,0.86,1.96,22.48,10.27,5.04,3.89,1.81,0.78,0.58,4.45,1.08,1.51,RUN1975_CAT_CONUS.zip
948010089,0.88,2.12,36.19,17.13,8.43,5.73,2.65,1.26,0.84,4.4,1.28,1.62,RUN1975_CAT_CONUS.zip
948010091,0.87,2.1,33.9,15.98,7.86,5.4,2.51,1.18,0.79,4.38,1.24,1.58,RUN1975_CAT_CONUS.zip
948010092,0.81,2.19,35.9,16.93,8.29,5.42,2.6,1.29,0.79,4.2,1.24,1.42,RUN1975_CAT_CONUS.zip
948010095,0.83,1.98,22.68,10.35,5.07,3.84,1.8,0.79,0.57,4.36,1.08,1.45,RUN1975_CAT_CONUS.zip
948010096,0.8,2.2,35.64,16.79,8.22,5.33,2.58,1.29,0.78,4.16,1.24,1.38,RUN1975_CAT_CONUS.zip
