COMID,CAT_TAV_JAN1998,CAT_TAV_FEB1998,CAT_TAV_MAR1998,CAT_TAV_APR1998,CAT_TAV_MAY1998,CAT_TAV_JUN1998,CAT_TAV_JUL1998,CAT_TAV_AUG1998,CAT_TAV_SEP1998,CAT_TAV_OCT1998,CAT_TAV_NOV1998,CAT_TAV_DEC1998,filename
3917070,-0.31,0.31,1.93,2.17,4.21,10.97,17.33,16.71,14.97,5.58,-0.1,-3.86,TAV1998_CAT_CONUS.zip
3917072,-0.22,0.43,2.1,2.36,4.46,11.23,17.56,16.95,15.19,5.7,0.03,-3.81,TAV1998_CAT_CONUS.zip
3917082,-0.34,-0.26,1.43,2.06,4.24,10.98,17.47,17.01,15.19,5.4,-0.3,-4.08,TAV1998_CAT_CONUS.zip
3917084,-0.51,-0.28,1.38,1.75,3.91,10.64,17.13,16.58,14.9,5.21,-0.52,-4.21,TAV1998_CAT_CONUS.zip
3917100,2.53,2.42,4.98,7.22,9.04,15.88,21.85,21.61,17.85,9.36,4.08,-0.56,TAV1998_CAT_CONUS.zip
3917106,-0.26,-0.16,1.59,2.28,4.42,11.16,17.65,17.17,15.38,5.48,-0.19,-4.04,TAV1998_CAT_CONUS.zip
3917114,-0.12,0.34,2.11,2.57,4.67,11.39,17.83,17.18,15.43,5.69,0.04,-3.85,TAV1998_CAT_CONUS.zip
3917130,-0.26,0.13,1.96,2.51,4.56,11.29,17.79,17.13,15.48,5.49,-0.14,-4.1,TAV1998_CAT_CONUS.zip
3917136,-0.05,-0.08,1.78,2.7,4.81,11.55,18.05,17.61,15.8,5.71,0.09,-3.86,TAV1998_CAT_CONUS.zip
3917138,0.12,0.07,2.05,3.13,5.16,11.89,18.42,17.95,16.21,5.88,0.34,-3.76,TAV1998_CAT_CONUS.zip
3917154,-0.19,0.38,2.09,2.42,4.52,11.27,17.65,17.02,15.27,5.68,0.02,-3.83,TAV1998_CAT_CONUS.zip
3917156,0.19,0.83,2.63,3.2,5.24,11.97,18.33,17.69,15.78,6.15,0.55,-3.47,TAV1998_CAT_CONUS.zip
3917158,2.27,2.41,4.57,6.72,8.59,15.41,21.34,21.07,17.61,8.9,3.57,-0.95,TAV1998_CAT_CONUS.zip
3917160,2.04,2.26,4.29,6.24,8.12,14.9,20.94,20.65,17.36,8.62,3.23,-1.22,TAV1998_CAT_CONUS.zip
3917162,0.04,0.54,2.45,3.16,5.13,11.85,18.31,17.64,15.86,5.87,0.29,-3.79,TAV1998_CAT_CONUS.zip
3917164,1.24,1.79,3.55,4.79,6.79,13.56,19.72,19.26,16.65,7.52,2.04,-2.19,TAV1998_CAT_CONUS.zip
3917172,0.54,1.16,2.87,3.64,5.69,12.46,18.7,18.16,15.97,6.64,1.07,-2.97,TAV1998_CAT_CONUS.zip
3917176,0.93,1.5,3.47,4.66,6.5,13.24,19.5,18.9,16.54,6.99,1.54,-2.67,TAV1998_CAT_CONUS.zip
3917178,0.53,1.1,3.07,4,5.88,12.59,18.96,18.29,16.25,6.48,0.96,-3.2,TAV1998_CAT_CONUS.zip
3917194,0.16,0.2,2.26,3.48,5.25,11.9,18.52,17.9,16.21,5.88,0.38,-3.77,TAV1998_CAT_CONUS.zip
3917198,2.43,2.43,4.94,7.11,8.93,15.81,21.69,21.44,17.8,9.14,3.87,-0.69,TAV1998_CAT_CONUS.zip
3917200,2.75,2.56,5.5,7.67,9.39,16.38,22.16,21.92,18.13,9.46,4.25,-0.31,TAV1998_CAT_CONUS.zip
3917222,2.3,2.4,4.74,6.84,8.68,15.56,21.44,21.16,17.67,8.89,3.6,-0.88,TAV1998_CAT_CONUS.zip
3917230,3.1,2.73,6.1,8.46,10.2,17.17,23.21,22.9,18.69,10.25,4.79,-0.15,TAV1998_CAT_CONUS.zip
3917244,3.14,2.79,6.14,8.41,10.13,17.15,23.06,22.79,18.75,10.18,4.76,-0.04,TAV1998_CAT_CONUS.zip
3917266,2.87,2.61,5.69,7.87,9.56,16.57,22.34,22.1,18.25,9.62,4.42,-0.18,TAV1998_CAT_CONUS.zip
3917912,0.26,0.9,2.75,3.4,5.41,12.13,18.51,17.84,15.93,6.2,0.62,-3.45,TAV1998_CAT_CONUS.zip
3917914,0.47,0.18,2.33,3.69,5.77,12.55,19.07,18.73,16.55,6.35,0.87,-3.29,TAV1998_CAT_CONUS.zip
3917916,-0.01,0.14,2.12,3.03,4.98,11.7,18.23,17.65,15.96,5.72,0.16,-3.91,TAV1998_CAT_CONUS.zip
3917918,1.63,2,4.03,5.7,7.58,14.37,20.45,20.02,17.09,7.98,2.59,-1.77,TAV1998_CAT_CONUS.zip
3917920,2.29,2.41,4.61,6.77,8.63,15.46,21.38,21.12,17.63,8.94,3.61,-0.91,TAV1998_CAT_CONUS.zip
3917922,2.56,2.42,5.16,7.39,9.19,16.07,21.98,21.75,17.92,9.43,4.18,-0.5,TAV1998_CAT_CONUS.zip
3917924,2.65,2.44,5.34,7.59,9.38,16.28,22.19,21.96,18.03,9.58,4.34,-0.4,TAV1998_CAT_CONUS.zip
3917926,2.84,2.49,5.58,7.86,9.64,16.58,22.51,22.26,18.21,9.84,4.54,-0.27,TAV1998_CAT_CONUS.zip
3917946,3.26,3.1,6.54,8.96,10.61,17.53,23.64,23.3,19.08,10.45,4.93,-0.09,TAV1998_CAT_CONUS.zip
3917948,2.83,2.59,5.63,7.81,9.51,16.51,22.29,22.04,18.21,9.57,4.37,-0.21,TAV1998_CAT_CONUS.zip
3917950,3.03,2.69,5.93,8.12,9.82,16.86,22.66,22.42,18.51,9.89,4.64,-0.06,TAV1998_CAT_CONUS.zip
948010046,3.01,2.65,5.95,8.16,9.85,16.93,22.74,22.5,18.53,9.98,4.69,-0.08,TAV1998_CAT_CONUS.zip
948010047,2.92,2.6,5.78,8,9.7,16.73,22.55,22.31,18.37,9.82,4.57,-0.15,TAV1998_CAT_CONUS.zip
948010048,2.85,2.5,5.59,7.87,9.65,16.59,22.52,22.27,18.22,9.85,4.55,-0.27,TAV1998_CAT_CONUS.zip
948010089,2.61,2.44,5.3,7.53,9.31,16.21,22.1,21.88,17.99,9.51,4.29,-0.42,TAV1998_CAT_CONUS.zip
948010091,2.67,2.46,5.37,7.61,9.39,16.3,22.19,21.96,18.05,9.58,4.34,-0.37,TAV1998_CAT_CONUS.zip
948010092,2.81,2.57,5.6,7.79,9.5,16.49,22.29,22.05,18.19,9.59,4.39,-0.23,TAV1998_CAT_CONUS.zip
948010095,2.89,2.54,5.69,7.95,9.71,16.69,22.59,22.34,18.31,9.89,4.59,-0.21,TAV1998_CAT_CONUS.zip
948010096,2.85,2.6,5.67,7.85,9.55,16.55,22.33,22.09,18.24,9.62,4.41,-0.19,TAV1998_CAT_CONUS.zip
