COMID,CAT_TAV_JAN1984,CAT_TAV_FEB1984,CAT_TAV_MAR1984,CAT_TAV_APR1984,CAT_TAV_MAY1984,CAT_TAV_JUN1984,CAT_TAV_JUL1984,CAT_TAV_AUG1984,CAT_TAV_SEP1984,CAT_TAV_OCT1984,CAT_TAV_NOV1984,CAT_TAV_DEC1984,filename
3917070,0.73,4.64,3.37,2.97,9.24,11.74,19.13,17.41,15.11,6.12,0.72,-3.56,TAV1984_CAT_CONUS.zip
3917072,0.79,4.66,3.57,3.24,9.47,11.99,19.32,17.63,15.25,6.32,1,-3.35,TAV1984_CAT_CONUS.zip
3917082,0.64,5.11,3.19,2.6,9.1,11.44,19.03,17.16,14.49,5.69,-0.16,-4.02,TAV1984_CAT_CONUS.zip
3917084,0.53,4.98,2.79,2.17,8.62,11,18.68,16.78,14.5,5.46,-0.29,-4.26,TAV1984_CAT_CONUS.zip
3917106,0.73,5.18,3.29,2.73,9.23,11.59,19.17,17.31,14.72,5.85,0.03,-3.78,TAV1984_CAT_CONUS.zip
3917114,0.69,4.74,3.36,2.99,9.19,11.65,19.06,17.34,14.98,6.06,0.64,-3.41,TAV1984_CAT_CONUS.zip
3917130,0.81,5.09,3.31,2.86,9.24,11.73,19.24,17.43,15.21,6.12,0.57,-3.3,TAV1984_CAT_CONUS.zip
3917136,0.88,5.37,3.42,2.86,9.43,11.78,19.36,17.51,14.98,5.97,0.1,-3.58,TAV1984_CAT_CONUS.zip
3917138,1.04,5.57,3.41,2.87,9.49,11.87,19.49,17.63,15.43,6.12,0.26,-3.32,TAV1984_CAT_CONUS.zip
3917154,0.74,4.69,3.47,3.12,9.34,11.83,19.2,17.49,15.13,6.2,0.83,-3.39,TAV1984_CAT_CONUS.zip
3917156,0.88,4.54,4.07,3.9,9.94,12.45,19.58,18.02,15.35,6.67,1.48,-2.68,TAV1984_CAT_CONUS.zip
3917158,1.19,3.43,6.92,7.2,12.26,15.17,21.14,20.17,15.54,8.33,3.51,-0.17,TAV1984_CAT_CONUS.zip
3917160,1.11,3.49,6.43,6.65,11.72,14.63,20.79,19.76,15.48,8.07,3.09,-0.57,TAV1984_CAT_CONUS.zip
3917162,0.94,4.95,3.81,3.53,9.76,12.26,19.57,17.88,15.43,6.54,1.16,-2.72,TAV1984_CAT_CONUS.zip
3917164,0.96,3.84,5.48,5.54,11.03,13.7,20.19,18.98,15.28,7.48,2.47,-1.44,TAV1984_CAT_CONUS.zip
3917172,0.89,4.23,4.58,4.46,10.3,12.89,19.77,18.34,15.27,6.94,1.8,-2.3,TAV1984_CAT_CONUS.zip
3917176,0.99,4.28,4.96,4.95,10.65,13.26,19.96,18.6,15.41,7.18,2.14,-1.62,TAV1984_CAT_CONUS.zip
3917178,0.98,4.56,4.41,4.31,10.26,12.78,19.79,18.29,15.42,6.9,1.73,-2.16,TAV1984_CAT_CONUS.zip
3917194,1.06,5.45,3.53,2.99,9.61,11.97,19.55,17.64,15.22,6.18,0.31,-3.14,TAV1984_CAT_CONUS.zip
3917198,1.44,3.59,7.1,7.36,12.39,15.45,21.5,20.49,15.93,8.54,3.81,0.08,TAV1984_CAT_CONUS.zip
3917200,1.77,3.81,7.43,7.66,12.67,15.95,22.07,20.96,16.43,8.82,4.19,0.36,TAV1984_CAT_CONUS.zip
3917230,2,4.06,7.9,8.07,13.08,16.64,22.85,21.7,16.96,9.22,4.71,0.63,TAV1984_CAT_CONUS.zip
3917244,2,4.03,7.84,8.02,13.04,16.56,22.74,21.55,16.87,9.13,4.6,0.56,TAV1984_CAT_CONUS.zip
3917912,0.92,4.57,4.14,4.02,10.02,12.52,19.64,18.09,15.41,6.75,1.58,-2.52,TAV1984_CAT_CONUS.zip
3917914,1.16,5.25,4.35,3.89,10.21,12.5,19.91,18.23,15.35,6.47,0.63,-2.85,TAV1984_CAT_CONUS.zip
3917916,0.98,5.42,3.41,2.92,9.47,11.89,19.46,17.62,15.4,6.19,0.46,-3.19,TAV1984_CAT_CONUS.zip
3917918,1.11,3.81,6.01,6.17,11.5,14.27,20.58,19.43,15.48,7.81,2.9,-0.81,TAV1984_CAT_CONUS.zip
3917920,1.21,3.44,6.94,7.22,12.27,15.2,21.17,20.21,15.58,8.35,3.54,-0.13,TAV1984_CAT_CONUS.zip
3917946,2.11,4.16,8.03,8.17,13.21,16.83,23.09,21.88,17.05,9.23,4.8,0.64,TAV1984_CAT_CONUS.zip
3917948,1.81,3.82,7.51,7.74,12.75,16.06,22.18,21.07,16.5,8.88,4.27,0.41,TAV1984_CAT_CONUS.zip
3917950,1.91,3.92,7.67,7.88,12.89,16.3,22.45,21.29,16.68,9.01,4.43,0.5,TAV1984_CAT_CONUS.zip
