COMID,CAT_RUN_JAN1972,CAT_RUN_FEB1972,CAT_RUN_MAR1972,CAT_RUN_APR1972,CAT_RUN_MAY1972,CAT_RUN_JUN1972,CAT_RUN_JUL1972,CAT_RUN_AUG1972,CAT_RUN_SEP1972,CAT_RUN_OCT1972,CAT_RUN_NOV1972,CAT_RUN_DEC1972,filename
3917070,38.72,93.12,137.64,94.63,63.68,32.33,15.18,7.92,5.06,3.62,2.09,0.77,RUN1972_CAT_CONUS.zip
3917072,39.37,92.05,138.73,92.84,48.44,24.66,11.37,5.99,4.15,3.13,1.82,0.71,RUN1972_CAT_CONUS.zip
3917082,28.06,85.14,125.25,100.63,69.38,34.26,16.34,8.48,5.16,3.35,2.07,0.59,RUN1972_CAT_CONUS.zip
3917084,32.1,88.24,124.41,99.76,78.75,39.36,18.79,9.81,5.85,3.77,2.2,0.62,RUN1972_CAT_CONUS.zip
3917106,28.84,83.9,115.59,87.73,58.27,28.87,13.62,7.13,4.49,3.06,1.96,0.56,RUN1972_CAT_CONUS.zip
3917114,31.89,84.27,112.93,79.85,57.22,29.12,13.57,7.2,4.55,3.18,1.85,0.67,RUN1972_CAT_CONUS.zip
3917130,32.57,82.62,99.38,64.86,42.34,21.57,9.82,5.32,3.66,2.83,1.94,0.6,RUN1972_CAT_CONUS.zip
3917136,29.08,82.84,101.12,70.44,43.82,21.68,10.07,5.33,3.53,2.64,1.79,0.48,RUN1972_CAT_CONUS.zip
3917138,31.75,82.25,79.88,44.1,24.54,12.37,5.4,3.03,2.35,2.18,1.59,0.38,RUN1972_CAT_CONUS.zip
3917154,36.41,89.03,128.54,87.97,52.51,26.72,12.39,6.54,4.34,3.16,1.84,0.69,RUN1972_CAT_CONUS.zip
3917156,32.37,83.08,117.02,72.23,37.87,19.62,8.81,4.73,3.37,2.67,1.6,0.73,RUN1972_CAT_CONUS.zip
3917158,1.31,45.46,30.31,15.37,8.26,5.06,1.75,1.15,1.33,1.46,1.05,0.74,RUN1972_CAT_CONUS.zip
3917160,3.48,50.95,47.56,23.79,12.63,7.23,2.81,1.69,1.64,1.63,1.01,0.72,RUN1972_CAT_CONUS.zip
3917162,30.11,79.63,95.4,57.02,31.53,16.37,7.18,3.96,2.95,2.58,2.03,0.78,RUN1972_CAT_CONUS.zip
3917164,17.94,69.84,93.55,53.83,27.79,14.69,6.49,3.56,2.64,2.21,1.4,0.71,RUN1972_CAT_CONUS.zip
3917172,27.63,80.32,112.16,70.35,37.54,19.42,8.8,4.71,3.34,2.64,1.59,0.72,RUN1972_CAT_CONUS.zip
3917176,16.94,71.6,81.07,52.96,27.71,14.63,6.38,3.48,2.59,2.79,2.31,1.7,RUN1972_CAT_CONUS.zip
3917178,23.82,76.9,93.72,59.99,33.71,17.65,7.81,4.25,2.99,2.85,2.61,1.25,RUN1972_CAT_CONUS.zip
3917194,28.04,85.29,98.55,67.57,39.27,19.76,9.07,4.86,3.22,3.68,4.11,1.28,RUN1972_CAT_CONUS.zip
3917198,4.54,34.68,24.26,12.28,6.7,4.32,1.37,0.95,1.21,1.38,1,0.77,RUN1972_CAT_CONUS.zip
3917200,6.04,17.14,12.43,6.44,3.69,2.83,0.64,0.57,0.98,1.27,0.99,0.79,RUN1972_CAT_CONUS.zip
3917230,2.29,3.92,5.61,2.52,1.86,1.97,0.21,0.32,0.92,1.19,0.65,0.77,RUN1972_CAT_CONUS.zip
3917244,1.55,3.78,4.77,2.25,1.7,1.88,0.17,0.29,0.89,1.2,0.88,0.78,RUN1972_CAT_CONUS.zip
3917912,30.48,80.56,107.99,64.97,34.37,17.96,7.94,4.31,3.11,2.54,1.59,0.76,RUN1972_CAT_CONUS.zip
3917914,27.06,77.27,78.99,43.82,24.81,12.17,5.43,2.95,2.23,2.04,1.57,0.46,RUN1972_CAT_CONUS.zip
3917916,31.02,82.64,88.42,54.67,31.55,16.02,7.13,3.93,2.87,2.7,2.5,0.78,RUN1972_CAT_CONUS.zip
3917918,8.9,58.59,52.33,31.28,16.49,9.12,3.7,2.13,1.86,2,1.53,1.1,RUN1972_CAT_CONUS.zip
3917920,1.42,44.41,29.71,15.05,8.1,4.99,1.71,1.13,1.32,1.45,1.03,0.74,RUN1972_CAT_CONUS.zip
3917946,5.46,10.83,12.76,6.11,3.56,2.79,0.64,0.58,1.12,1.14,0.77,0.8,RUN1972_CAT_CONUS.zip
3917948,4.9,14.08,10.01,5.24,3.08,2.53,0.5,0.48,0.94,1.25,0.95,0.79,RUN1972_CAT_CONUS.zip
3917950,2.27,5.62,4.37,2.31,1.7,1.86,0.16,0.29,0.88,1.21,0.89,0.8,RUN1972_CAT_CONUS.zip
