COMID,CAT_RUN_JAN1954,CAT_RUN_FEB1954,CAT_RUN_MAR1954,CAT_RUN_APR1954,CAT_RUN_MAY1954,CAT_RUN_JUN1954,CAT_RUN_JUL1954,CAT_RUN_AUG1954,CAT_RUN_SEP1954,CAT_RUN_OCT1954,CAT_RUN_NOV1954,CAT_RUN_DEC1954,filename
3917070,101.03,117.49,75.52,46.43,22.42,13.61,5.55,4.61,2.31,1.65,1.66,1.8,RUN1954_CAT_CONUS.zip
3917072,99.73,115.78,73.82,43.62,21.04,12.89,5.21,4.44,2.15,1.6,1.67,1.79,RUN1954_CAT_CONUS.zip
3917082,95.56,109.08,69.59,42.43,20.87,13.1,5.09,4.34,1.91,1.23,1.88,3.84,RUN1954_CAT_CONUS.zip
3917084,98.33,113.33,72.69,45.58,22.35,13.89,5.48,4.45,2.04,1.46,1.82,8.76,RUN1954_CAT_CONUS.zip
3917100,52.09,33.59,17.01,9.16,4.17,4.36,1.06,1.22,0.68,0.81,1.05,0.81,RUN1954_CAT_CONUS.zip
3917106,91.23,99.65,63.56,37.88,18.58,11.79,4.53,4.06,1.75,1.2,1.87,4.11,RUN1954_CAT_CONUS.zip
3917114,89.49,101.28,65.05,38.98,18.91,11.85,4.64,3.89,1.72,1.42,1.68,7.29,RUN1954_CAT_CONUS.zip
3917130,84.24,88.52,56.85,33.46,16.26,10.36,3.97,3.81,1.6,1.38,2.18,5.16,RUN1954_CAT_CONUS.zip
3917136,86.68,85.28,54.74,31.11,15.2,9.88,3.7,3.54,1.47,1.1,1.86,8.43,RUN1954_CAT_CONUS.zip
3917138,79.9,66.25,42.98,22.39,10.81,7.38,2.64,2.9,1.14,1.1,1.82,14.3,RUN1954_CAT_CONUS.zip
3917154,95.8,110.22,70.48,41.92,20.27,12.52,5,4.23,1.98,1.53,1.67,4.09,RUN1954_CAT_CONUS.zip
3917156,87.19,96.72,62.04,35.3,16.92,10.61,4.17,3.69,1.64,1.36,1.58,1.57,RUN1954_CAT_CONUS.zip
3917158,50.15,38.75,20.21,10.9,4.92,4.67,1.24,1.32,0.72,0.8,1.56,0.84,RUN1954_CAT_CONUS.zip
3917160,61.96,51.61,28.12,14.87,6.92,5.78,1.73,1.78,0.88,0.9,1.33,0.87,RUN1954_CAT_CONUS.zip
3917162,80.69,85.57,55.8,32.44,15.64,9.86,3.83,3.68,1.48,1.34,2.69,4.34,RUN1954_CAT_CONUS.zip
3917164,80.05,75.07,48.85,27.66,12.97,8.84,3.22,2.85,1.32,1.13,1.37,1.09,RUN1954_CAT_CONUS.zip
3917172,88.88,93.15,60.22,34.91,16.62,10.66,4.12,3.54,1.69,1.34,1.49,1.4,RUN1954_CAT_CONUS.zip
3917176,85.94,98.74,71.8,49.28,23.64,14.04,5.89,4.5,1.87,1.59,2.75,9.33,RUN1954_CAT_CONUS.zip
3917178,84.4,96.9,66.18,41.72,20.02,12.13,4.96,4.07,1.65,1.47,3.91,9.33,RUN1954_CAT_CONUS.zip
3917194,94.92,109.74,80.42,53.71,26,15.36,6.48,5.42,1.96,1.69,5.86,23.99,RUN1954_CAT_CONUS.zip
3917198,47.97,32.89,16.88,9.16,4.1,4.23,1.03,1.29,0.64,0.77,1.5,0.86,RUN1954_CAT_CONUS.zip
3917200,32.24,20.74,10.55,5.88,2.53,3.37,0.63,1.11,0.48,0.69,1.58,0.85,RUN1954_CAT_CONUS.zip
3917222,49.27,35.97,18.86,10.21,4.57,4.44,1.14,1.45,0.66,0.77,1.64,0.89,RUN1954_CAT_CONUS.zip
3917230,21.31,10.8,5.56,3.19,1.32,2.79,0.35,0.67,0.36,0.67,0.86,0.7,RUN1954_CAT_CONUS.zip
3917244,17.53,11.86,6.08,3.44,1.42,2.83,0.37,0.73,0.37,0.67,1.2,0.75,RUN1954_CAT_CONUS.zip
3917266,26.31,16.83,8.59,4.87,2.05,3.14,0.52,0.96,0.44,0.68,1.54,0.82,RUN1954_CAT_CONUS.zip
3917912,82.88,91.62,58.84,33.1,15.86,9.98,3.89,3.49,1.49,1.3,1.71,1.99,RUN1954_CAT_CONUS.zip
3917914,78.84,66,43.5,22.84,11.07,7.62,2.67,2.79,1.02,0.85,1.96,15.88,RUN1954_CAT_CONUS.zip
3917916,84.53,83.71,56.15,33.78,16.36,10.25,4.02,3.85,1.51,1.38,3.65,13.65,RUN1954_CAT_CONUS.zip
3917918,67.41,65.17,42.78,26.97,12.73,8.6,3.18,2.63,1.2,1.12,1.95,4.05,RUN1954_CAT_CONUS.zip
3917920,50,38.09,19.83,10.7,4.83,4.62,1.21,1.3,0.71,0.79,1.53,0.83,RUN1954_CAT_CONUS.zip
3917922,48.87,30.45,15.46,8.39,3.77,4.13,0.96,1.12,0.63,0.78,1.22,0.81,RUN1954_CAT_CONUS.zip
3917924,45.36,26.4,13.36,7.28,3.26,3.87,0.83,1.01,0.59,0.77,1.21,0.78,RUN1954_CAT_CONUS.zip
3917926,37,18.74,9.47,5.24,2.32,3.42,0.61,0.81,0.52,0.76,1.16,0.69,RUN1954_CAT_CONUS.zip
3917946,25.91,14.46,7.52,4.25,1.76,2.97,0.44,0.83,0.39,0.65,1,0.91,RUN1954_CAT_CONUS.zip
3917948,27.85,17.87,9.11,5.14,2.17,3.2,0.55,1,0.45,0.68,1.55,0.83,RUN1954_CAT_CONUS.zip
3917950,21,15.02,7.58,4.31,1.81,3.03,0.46,0.88,0.41,0.68,1.51,0.87,RUN1954_CAT_CONUS.zip
948010046,18.28,12.91,6.5,3.75,1.55,2.91,0.4,0.78,0.39,0.68,1.41,0.83,RUN1954_CAT_CONUS.zip
948010047,25.04,15.51,7.85,4.45,1.88,3.1,0.48,0.85,0.43,0.69,1.4,0.8,RUN1954_CAT_CONUS.zip
