COMID,CAT_PPT_JAN1992,CAT_PPT_FEB1992,CAT_PPT_MAR1992,CAT_PPT_APR1992,CAT_PPT_MAY1992,CAT_PPT_JUN1992,CAT_PPT_JUL1992,CAT_PPT_AUG1992,CAT_PPT_SEP1992,CAT_PPT_OCT1992,CAT_PPT_NOV1992,CAT_PPT_DEC1992,filename
3917070,53.39,70.99,60.49,40.23,18.64,67.85,24.41,0.68,13.74,66.08,55.85,142.09,PPT1992_CAT_CONUS.zip
3917072,52.69,68.86,59.85,38.47,17.31,67.77,22.64,0.7,13.45,64.31,51.41,141.63,PPT1992_CAT_CONUS.zip
3917082,45.64,65.45,50.34,36.9,27.51,63.1,15.47,0.51,12.41,58.84,56.53,147.88,PPT1992_CAT_CONUS.zip
3917084,45.95,65.06,50.67,39.8,21.33,63.3,19.88,1,13.56,62.31,61.48,143.11,PPT1992_CAT_CONUS.zip
3917106,43.41,66.19,48.06,34.43,24.97,61.85,15.12,0.66,12.16,56.98,49.54,141.66,PPT1992_CAT_CONUS.zip
3917114,46.23,66.58,49.22,33.14,15.38,60.31,19.41,1.06,12.61,61.35,50.93,137.6,PPT1992_CAT_CONUS.zip
3917130,42.56,69.63,43.78,33.15,15.72,59.88,18.64,1.02,12.27,55.83,41.92,131.24,PPT1992_CAT_CONUS.zip
3917136,38.41,68.31,48.71,29.19,22.5,59.9,12.23,1.17,11.7,54.19,38.21,134.2,PPT1992_CAT_CONUS.zip
3917138,32.19,70.18,47.35,23.63,15.52,57.46,11.11,2.02,11.6,51.67,24.12,120.6,PPT1992_CAT_CONUS.zip
3917154,50.09,67.91,55.61,36.49,16.56,64.83,21.41,0.85,13.14,63.19,51.48,140.07,PPT1992_CAT_CONUS.zip
3917156,49.31,67.18,50.77,29.94,15.3,60.93,18.3,0.68,11.77,60.41,42.43,137.9,PPT1992_CAT_CONUS.zip
3917158,27.06,38.03,15.95,16.57,11.81,49.03,9.25,0.83,8.88,47.88,20.87,115.75,PPT1992_CAT_CONUS.zip
3917160,31.86,35.33,16.42,18.1,12.44,51.24,9.59,0.93,9.24,50.59,22.92,126.08,PPT1992_CAT_CONUS.zip
3917162,45.5,77.16,48.79,28.96,14.74,58.59,16.34,1.05,11.22,54.91,37.12,136.59,PPT1992_CAT_CONUS.zip
3917164,45.29,38.3,24.41,27.32,13.31,54.25,14.83,0.73,10.37,55.01,36.27,141.2,PPT1992_CAT_CONUS.zip
3917172,48.85,52.5,40.6,32,15.07,59.95,18.64,0.7,11.68,59.08,43.36,141.19,PPT1992_CAT_CONUS.zip
3917176,55.13,93.69,57.85,33.81,11.88,55.05,14.41,2.33,9.77,52.6,41.17,174.84,PPT1992_CAT_CONUS.zip
3917178,53.21,89.97,61.76,28.76,13.04,57.95,14.44,1.69,10.37,56.12,42.23,159.26,PPT1992_CAT_CONUS.zip
3917194,57.32,127.4,88.34,35.57,14.19,62.15,10.25,3.55,10.39,50.92,44.89,190.8,PPT1992_CAT_CONUS.zip
3917198,26,39.31,15.77,15.83,11.53,49.08,8.89,0.87,8.82,47.32,19.48,112.21,PPT1992_CAT_CONUS.zip
3917200,23.8,44.25,15.49,14.59,10.91,48.2,8.24,0.95,8.53,45.38,16,99.48,PPT1992_CAT_CONUS.zip
3917230,19.49,25.3,7.35,9.99,10.88,49.52,6.66,1.01,8.86,46.21,10.4,87.39,PPT1992_CAT_CONUS.zip
3917244,20.36,31.11,9.44,10.68,10.79,49.39,6.9,0.99,8.75,46.1,11.28,88.93,PPT1992_CAT_CONUS.zip
3917912,48.2,70.69,50.96,26.86,14.67,59.05,16.97,0.73,11.23,59.17,39.66,136.49,PPT1992_CAT_CONUS.zip
3917914,32.08,74.14,46.55,22.55,17.88,52.69,10.31,0.84,10.25,47.73,24.39,124.42,PPT1992_CAT_CONUS.zip
3917916,42.03,86.2,57.03,29.84,15.13,59.82,13.44,2.04,11.58,52.72,34.2,140.23,PPT1992_CAT_CONUS.zip
3917918,39.77,58.27,32.4,23.64,11.81,51.41,12.25,1.38,9.25,49.97,30.03,140.94,PPT1992_CAT_CONUS.zip
3917920,26.87,37.8,15.74,16.4,11.81,49.15,9.19,0.83,8.89,47.94,20.61,115.54,PPT1992_CAT_CONUS.zip
3917946,19.26,27.72,7.7,13.85,10.79,48.18,7.77,1.11,8.73,44.18,11.97,94.22,PPT1992_CAT_CONUS.zip
3917948,23,44.12,14.69,14.01,10.9,48.39,8.03,0.97,8.53,45.36,14.72,96.74,PPT1992_CAT_CONUS.zip
3917950,21.7,39.24,12.54,12.44,10.73,49.32,7.34,1.01,8.73,46.02,12.59,92.47,PPT1992_CAT_CONUS.zip
