COMID,CAT_PPT_JAN1954,CAT_PPT_FEB1954,CAT_PPT_MAR1954,CAT_PPT_APR1954,CAT_PPT_MAY1954,CAT_PPT_JUN1954,CAT_PPT_JUL1954,CAT_PPT_AUG1954,CAT_PPT_SEP1954,CAT_PPT_OCT1954,CAT_PPT_NOV1954,CAT_PPT_DEC1954,filename
3917070,206.44,103.59,59.06,51.91,4.72,50.54,0.15,36.65,18.51,19.13,40.68,107.7,PPT1954_CAT_CONUS.zip
3917072,203.36,103.87,57.63,48.56,4.59,49.71,0.12,36.68,16.9,18.99,40.47,107.61,PPT1954_CAT_CONUS.zip
3917082,193.62,102.62,54.97,48.58,11.2,59,0.31,36.19,13.05,11.84,51.37,106.34,PPT1954_CAT_CONUS.zip
3917084,198.64,101.65,56.63,51.16,9.65,59.33,0.32,34.36,13.61,15.7,50.27,106.46,PPT1954_CAT_CONUS.zip
3917100,161.24,29.8,22.08,21.28,2.51,46.77,0.89,14.19,8.54,13.75,22.21,36.55,PPT1954_CAT_CONUS.zip
3917106,183.08,95.51,52.29,45.78,10.27,55.18,0.27,36.06,12.62,12.84,51.45,98.26,PPT1954_CAT_CONUS.zip
3917114,189.28,92.15,53.84,47.5,7.17,51.52,0.22,31.47,11.26,16.91,44.11,96.25,PPT1954_CAT_CONUS.zip
3917130,171.31,85.17,50.34,44.08,7.83,48.5,0.2,36.52,12.22,17.81,53.75,86,PPT1954_CAT_CONUS.zip
3917136,166.68,85.18,48.81,40.83,8.68,50.09,0.27,33.99,11.17,12.86,51.83,87.97,PPT1954_CAT_CONUS.zip
3917138,144.89,69.87,43.99,34.95,5.75,42.4,0.25,31.62,9.71,15.47,52,71.84,PPT1954_CAT_CONUS.zip
3917154,197.91,99.33,56.18,48.24,5.64,50.58,0.16,34.62,14.68,18.18,42.04,103.25,PPT1954_CAT_CONUS.zip
3917156,189.62,87.54,52.98,45.05,5.23,45.59,0.14,32.15,12.15,16.86,38.05,91.02,PPT1954_CAT_CONUS.zip
3917158,161.23,34.06,28.83,25.82,2.39,45.38,0.7,14.33,8.34,13.09,34.09,40.82,PPT1954_CAT_CONUS.zip
3917160,179.1,35.41,31.02,26.56,3.02,47.82,0.76,18.65,9.12,13.92,29.01,42.54,PPT1954_CAT_CONUS.zip
3917162,172.89,83.7,52.21,43.88,6.9,44.24,0.22,35.36,10.57,17.33,55.33,84.29,PPT1954_CAT_CONUS.zip
3917164,198.28,47.77,48.15,42.16,3.5,48.84,0.56,25.15,10.42,14.8,29.79,56.08,PPT1954_CAT_CONUS.zip
3917172,199.89,72.84,52.87,45.68,4.08,49.06,0.34,29.9,13.2,16.57,34.33,79.03,PPT1954_CAT_CONUS.zip
