COMID,CAT_PPT_JAN2008,CAT_PPT_FEB2008,CAT_PPT_MAR2008,CAT_PPT_APR2008,CAT_PPT_MAY2008,CAT_PPT_JUN2008,CAT_PPT_JUL2008,CAT_PPT_AUG2008,CAT_PPT_SEP2008,CAT_PPT_OCT2008,CAT_PPT_NOV2008,CAT_PPT_DEC2008,filename
3917070,97.15,35.92,75.39,31.33,63.5,11.14,4.94,8.23,0.18,29.74,77.07,67.8,PPT2008_CAT_CONUS.zip
3917072,95.65,34.67,75.53,31.19,62.53,10.85,5.13,8.57,0.17,28.83,74.94,65.29,PPT2008_CAT_CONUS.zip
3917082,93.59,55.91,82.12,24.5,61.5,13.91,3.02,6.6,0.29,22.81,59.78,55.51,PPT2008_CAT_CONUS.zip
3917084,97.44,51.44,81.72,23.41,60.91,12.08,2.87,6.96,0.27,24.38,63.72,64.79,PPT2008_CAT_CONUS.zip
3917106,96.28,53.14,78.32,24.35,60.55,13.19,3.05,6.6,0.33,21.21,57.81,56.7,PPT2008_CAT_CONUS.zip
3917114,100.89,42.82,71.25,22.35,55.77,9.88,2.73,6.75,0.22,21.44,59.97,69.89,PPT2008_CAT_CONUS.zip
3917130,105.72,44.5,70.35,23.94,58.1,10.82,2.94,6.97,0.32,18.93,56.93,69.46,PPT2008_CAT_CONUS.zip
3917136,97.22,50.92,73.65,23.02,59.56,12.31,3.18,6.24,0.47,19.11,53.92,50.95,PPT2008_CAT_CONUS.zip
3917138,102.06,45.14,66.91,21.21,57.61,10.26,3.24,6.05,0.58,16.45,50.25,50.59,PPT2008_CAT_CONUS.zip
3917154,97.77,38.07,74.01,27.63,59.91,10.48,4.16,7.84,0.19,25.93,69.05,67.13,PPT2008_CAT_CONUS.zip
3917156,98.67,34.93,63.87,25.91,54.8,9.38,3.63,7.29,0.18,21.82,62.06,68.93,PPT2008_CAT_CONUS.zip
3917158,117.17,28.93,28.92,19.77,41.16,6.67,4.98,7.34,0.09,18.16,52.95,87.77,PPT2008_CAT_CONUS.zip
3917160,116.47,33.41,30.97,20.28,43.38,6.6,4.91,6.34,0.12,20.93,61.55,79.74,PPT2008_CAT_CONUS.zip
3917162,105.06,40.64,62.67,23.9,54.8,10.3,2.84,6.62,0.3,16.82,53.47,70.3,PPT2008_CAT_CONUS.zip
3917164,102.73,32.29,47.5,21.44,48.66,6.5,4.43,6.89,0.13,21.27,62.21,74.44,PPT2008_CAT_CONUS.zip
3917172,99.16,33.61,61.23,25.56,54.64,8.38,4.64,7.43,0.15,24.36,67.43,70.55,PPT2008_CAT_CONUS.zip
3917176,106.36,36.58,53.93,20.71,49.19,8.27,5.47,5.63,0.13,17.65,55.33,74.84,PPT2008_CAT_CONUS.zip
3917178,103.32,37.77,56.19,22.25,51.03,9.44,3.28,5.9,0.23,17.17,53.68,72.47,PPT2008_CAT_CONUS.zip
3917194,103.29,48.12,61.66,21.48,60.4,12.97,7.45,5.68,0.65,16.69,49.96,53.98,PPT2008_CAT_CONUS.zip
3917198,106.66,26.57,26.68,18.66,40.21,6.83,4.85,6.68,0.07,15.52,49.18,82.37,PPT2008_CAT_CONUS.zip
3917200,88.09,23.24,23.58,16.17,37.73,6.82,4.34,6.24,0.04,10.94,43.08,58.64,PPT2008_CAT_CONUS.zip
3917230,67.87,19.11,17.26,10.81,34.81,12.31,1.77,6.13,0,4.97,36.28,29.61,PPT2008_CAT_CONUS.zip
3917244,66.08,20.1,19.07,11.69,35.07,11.77,2.91,6.7,0,5.27,36.89,30.23,PPT2008_CAT_CONUS.zip
3917912,99.94,35.54,61.36,24.42,52.46,9.2,3.07,6.75,0.19,19.36,57.41,70.09,PPT2008_CAT_CONUS.zip
3917914,102.06,46.11,61.3,19.14,59.5,10.12,3.61,5.89,1.15,16.23,48.71,41.93,PPT2008_CAT_CONUS.zip
3917916,104.72,45.13,65.96,23.03,58.53,11.23,3.21,6.33,0.5,16.73,52.16,59.73,PPT2008_CAT_CONUS.zip
3917918,111.03,32.82,42.39,19.95,44.59,7.06,5.11,6.25,0.1,18.27,55.05,81.21,PPT2008_CAT_CONUS.zip
3917920,115.84,28.51,28.24,19.63,41.07,6.72,4.98,7.3,0.08,17.85,52.51,87.1,PPT2008_CAT_CONUS.zip
3917946,90.85,25.35,18.63,11.36,36.63,8.34,1.54,4.33,0,7.54,38.05,36.99,PPT2008_CAT_CONUS.zip
3917948,83.4,21.97,21.25,15.52,37.2,6.95,4.28,6.4,0.04,9.93,41.74,51.58,PPT2008_CAT_CONUS.zip
3917950,71.5,20.41,19.11,13.48,36.01,9.4,3.57,6.43,0.01,7.46,38.28,38.25,PPT2008_CAT_CONUS.zip
