COMID,CAT_PPT_JAN1991,CAT_PPT_FEB1991,CAT_PPT_MAR1991,CAT_PPT_APR1991,CAT_PPT_MAY1991,CAT_PPT_JUN1991,CAT_PPT_JUL1991,CAT_PPT_AUG1991,CAT_PPT_SEP1991,CAT_PPT_OCT1991,CAT_PPT_NOV1991,CAT_PPT_DEC1991,filename
3917070,39.94,65.04,114.42,42.54,82.23,45,30.18,8.48,7.81,34.05,85.45,56.65,PPT1991_CAT_CONUS.zip
3917072,38.42,61.77,111.79,39.44,78.52,43.53,28.76,7.06,7.36,33.75,80.55,55.43,PPT1991_CAT_CONUS.zip
3917082,30.87,56.03,113.36,38.05,91.38,37.17,23.1,13.26,4.04,26.24,81.24,58.24,PPT1991_CAT_CONUS.zip
3917084,35.57,61.2,116.58,41.44,84.67,41.37,26.62,12.05,7.33,26.61,84.9,56.61,PPT1991_CAT_CONUS.zip
3917100,21.95,26.55,53.12,17.11,63.45,30.8,13.05,7.89,14.73,25.81,39.71,41.96,PPT1991_CAT_CONUS.zip
3917106,29.65,53.55,111.83,35.53,87.26,36.04,21.89,12.22,4.75,26.31,75.82,56.01,PPT1991_CAT_CONUS.zip
3917114,36.58,60.99,112.65,35.81,74.11,42.18,27.86,9.84,9.96,27.02,77.11,53.63,PPT1991_CAT_CONUS.zip
3917130,32.28,54.95,115.28,33.87,72.68,37.9,22.29,10.27,8.1,28.93,68.22,51.96,PPT1991_CAT_CONUS.zip
3917136,25.84,47.49,107.09,30.59,85.8,32.5,19.62,9.94,5.47,23.14,68.93,53.39,PPT1991_CAT_CONUS.zip
3917138,23.22,41.99,101.94,25.26,78.24,30.19,17.98,6.33,8.26,20.47,59.7,48.57,PPT1991_CAT_CONUS.zip
3917154,37.73,61.53,112.24,38.13,76.87,43.02,28.42,8.2,8.4,31.04,79.37,54.75,PPT1991_CAT_CONUS.zip
3917156,36.7,60.26,109.4,32.7,72.86,41.86,27.68,8.08,9.42,29.97,72.81,53.55,PPT1991_CAT_CONUS.zip
3917158,22.88,29.14,57.12,20.26,63.07,32.04,12.97,7.13,13.73,24.34,40.52,41.39,PPT1991_CAT_CONUS.zip
3917160,28.36,30.41,58.71,20.12,67.21,33.82,14.78,7.04,13.41,24.87,42.69,45.11,PPT1991_CAT_CONUS.zip
3917162,32.35,55.55,117.06,30.08,70.62,37.63,22.27,9.65,8.71,28.5,65.51,53.4,PPT1991_CAT_CONUS.zip
3917164,38.5,54.53,88.96,32.13,75.14,38.78,22.5,7.1,11.86,26.75,68.02,52.86,PPT1991_CAT_CONUS.zip
3917172,38.56,57.95,99.3,35.83,76.63,40.92,25.31,7.3,9.75,29.68,74.46,53.89,PPT1991_CAT_CONUS.zip
3917176,33.86,56.3,124.59,31.98,68.38,34.62,18.78,7.54,11.17,26.09,67.29,61.54,PPT1991_CAT_CONUS.zip
3917178,35.46,59.22,122.21,30.11,71.93,38.36,22.72,8.62,10.41,25.79,70.73,59.68,PPT1991_CAT_CONUS.zip
3917194,29.7,55.79,157.82,31.59,83.1,30.56,17.04,8.38,6.64,21.01,75.12,72.22,PPT1991_CAT_CONUS.zip
3917198,21.8,27.83,57.73,18.2,60.81,31.35,13.03,7.01,13.79,24.29,39.44,39.78,PPT1991_CAT_CONUS.zip
3917200,19.08,25.31,56.65,15.04,56.77,29.73,12.2,6.66,12.87,22.95,36.6,34.59,PPT1991_CAT_CONUS.zip
3917222,22.66,29.14,60.72,20.19,60.87,31.33,13.82,7.06,12.92,23.52,41.77,39.86,PPT1991_CAT_CONUS.zip
3917230,16.7,21.6,41.64,10.41,53.81,29.51,9.69,6.07,18.77,24.35,35.84,28.87,PPT1991_CAT_CONUS.zip
3917244,16.51,23.95,47.57,11,54.57,29.69,10.12,5.93,18.83,23.97,34.19,29.47,PPT1991_CAT_CONUS.zip
3917266,18.13,24.22,54.18,13.58,56.23,29.45,11.38,6.55,12.95,22.92,34.9,33.2,PPT1991_CAT_CONUS.zip
3917912,35.33,58.88,109.48,30.12,70.35,41.14,27.08,8.56,9.85,28.71,69.76,52.8,PPT1991_CAT_CONUS.zip
3917914,23.23,40.19,111.94,25.44,78.46,25.66,16.8,9.37,3.46,20.53,55.81,48.38,PPT1991_CAT_CONUS.zip
3917916,28.08,50.3,120.34,29.24,77.31,32.9,18.3,8.05,7.93,24.05,65.26,55.36,PPT1991_CAT_CONUS.zip
3917918,28.5,40.8,83.46,26.31,66.14,33.4,15.55,7.38,12.29,24.92,53.9,49.76,PPT1991_CAT_CONUS.zip
3917920,22.75,28.94,56.88,19.93,62.93,32,12.9,7.11,13.82,24.42,40.27,41.29,PPT1991_CAT_CONUS.zip
3917922,21.31,26.46,53.72,16,61.58,31.44,12.24,7.14,14.97,25.6,37.67,40.47,PPT1991_CAT_CONUS.zip
3917924,20.3,25.04,51.26,14.36,60.69,31.55,11.59,6.95,15.34,25.86,35.43,39.52,PPT1991_CAT_CONUS.zip
3917926,18.07,21.44,44.05,11.42,59.84,31.62,10.38,6.9,15.9,26.45,30.8,37.96,PPT1991_CAT_CONUS.zip
3917946,18.15,26.07,42.65,12.56,52.9,28.37,11.42,7.46,26.31,23.32,41.7,27.99,PPT1991_CAT_CONUS.zip
3917948,18.38,24.52,54.92,13.99,56.34,29.51,11.61,6.57,12.9,22.9,35.38,33.54,PPT1991_CAT_CONUS.zip
3917950,16.91,22.58,51.39,12.18,55.62,29.72,10.59,6.32,14,23.72,31.03,31.88,PPT1991_CAT_CONUS.zip
948010046,16.62,21.68,48.62,11.68,55.6,29.84,10.47,6.28,14.03,23.83,30.48,31.44,PPT1991_CAT_CONUS.zip
948010047,17.45,22.51,49.58,12.28,56.71,30.08,10.76,6.5,14.05,24.07,32.08,33.43,PPT1991_CAT_CONUS.zip
948010048,18.07,21.44,44.05,11.42,59.84,31.63,10.38,6.9,15.91,26.46,30.8,37.96,PPT1991_CAT_CONUS.zip
948010089,20.77,26,53.54,15.13,60.61,31.38,11.92,6.93,15,25.48,36.71,39.5,PPT1991_CAT_CONUS.zip
