COMID,CAT_PPT_JAN1959,CAT_PPT_FEB1959,CAT_PPT_MAR1959,CAT_PPT_APR1959,CAT_PPT_MAY1959,CAT_PPT_JUN1959,CAT_PPT_JUL1959,CAT_PPT_AUG1959,CAT_PPT_SEP1959,CAT_PPT_OCT1959,CAT_PPT_NOV1959,CAT_PPT_DEC1959,filename
3917070,117.28,79.38,42.44,14.78,79.81,16.5,9.76,51.69,32.43,14.37,0.63,46.8,PPT1959_CAT_CONUS.zip
3917072,116.18,74.63,39.78,14.58,73.19,17.14,10.27,50.33,30.1,13.68,0.55,45.08,PPT1959_CAT_CONUS.zip
3917082,158.34,76.05,43.45,9.22,81.68,11.52,34.44,81.8,43.7,8.77,0.27,39.95,PPT1959_CAT_CONUS.zip
3917084,143.31,79.57,47.35,10.77,86.15,13.07,23.64,70.09,40.27,10.81,0.72,41.65,PPT1959_CAT_CONUS.zip
3917100,82.94,41.89,15.17,2.94,27.04,13.46,2.96,14.19,11.28,8.28,0.19,22.95,PPT1959_CAT_CONUS.zip
3917106,152.63,75.25,40.92,9.41,72.63,12.24,30.25,72.69,42.28,8.91,0.36,38.8,PPT1959_CAT_CONUS.zip
3917114,129.52,66.72,42.31,10.95,71.09,14.33,11.75,48.17,28.58,10.78,0.7,43.2,PPT1959_CAT_CONUS.zip
3917130,140.2,76.02,40.71,10.88,59.63,15.35,14.32,44.46,38.8,10.73,1.06,38.79,PPT1959_CAT_CONUS.zip
3917136,143.43,76.33,35.38,9.75,58.75,12.01,27.47,66.34,37.65,8.25,0.35,37.03,PPT1959_CAT_CONUS.zip
3917138,124.33,77.11,29.88,10.92,40.41,13.12,17.2,48.29,30.96,8.63,0.61,35.27,PPT1959_CAT_CONUS.zip
3917154,121.64,71.74,40.94,13.14,72.7,16,10.95,49.72,29.66,12.54,0.61,44.32,PPT1959_CAT_CONUS.zip
3917156,120.22,59.33,36.55,11.39,60.49,15.48,7.12,38.32,22.95,11.2,0.43,45.3,PPT1959_CAT_CONUS.zip
3917158,92.4,52.1,20.46,3.57,29.43,12.98,2.86,17.07,12.59,8.28,0.22,25.08,PPT1959_CAT_CONUS.zip
3917160,99.08,50.12,20.82,4.01,34.42,13.52,2.84,16.77,13.46,8.57,0.25,27.84,PPT1959_CAT_CONUS.zip
3917162,144.24,72.3,38.09,11.23,50.65,15.27,10.77,36.29,31.66,9.92,1.21,42.01,PPT1959_CAT_CONUS.zip
3917164,109.96,48.89,32.42,5.36,49.4,14.18,2.57,23.19,17.21,9.66,0.33,43.96,PPT1959_CAT_CONUS.zip
3917172,113.71,60.2,36.29,9.53,60.02,15.35,5.91,35.45,22.96,11.23,0.43,44.93,PPT1959_CAT_CONUS.zip
3917176,190.39,105.32,43.11,12.72,44.06,14.53,5.41,25.52,23.52,7.17,2.34,49.64,PPT1959_CAT_CONUS.zip
3917178,161.92,82.15,40.4,12.74,48.59,14.52,6.98,31.56,21.21,8.65,1.98,49.29,PPT1959_CAT_CONUS.zip
3917194,212.73,124.24,42.49,19.18,44.94,14.26,20.95,49.87,38.6,7.61,5.17,49.71,PPT1959_CAT_CONUS.zip
3917198,90.77,52.2,17.48,3.27,27.66,12.66,2.92,15.51,12.27,7.66,0.17,24.05,PPT1959_CAT_CONUS.zip
3917200,91.14,51.68,14.2,2.97,24.15,11.8,3.17,14.44,11.67,6.28,0.12,21.67,PPT1959_CAT_CONUS.zip
3917222,95.24,54.93,19.36,3.84,28.21,12.23,2.86,16.64,12.97,7.4,0.19,25.48,PPT1959_CAT_CONUS.zip
3917230,73.19,31.2,8.94,1.35,19.62,12.87,3.17,11.24,8.13,5.71,0.04,17.74,PPT1959_CAT_CONUS.zip
3917244,80.58,38.18,9.84,1.75,20.85,12.59,3.22,11.81,9.06,5.9,0.05,18.38,PPT1959_CAT_CONUS.zip
3917266,89.53,49.5,13.18,2.65,23.35,11.87,3.29,14.09,11.17,6.1,0.11,20.52,PPT1959_CAT_CONUS.zip
3917912,124.25,56.86,35.77,11.05,56.07,14.96,6.63,35.62,21,10.28,0.49,44.94,PPT1959_CAT_CONUS.zip
3917914,140.23,86.31,28.69,8.47,41.23,11.73,23.12,54.6,32.17,6.62,0.25,30.47,PPT1959_CAT_CONUS.zip
3917916,154.35,92.52,37.61,13,45.4,14.52,16.15,44.73,35.35,9.32,1.79,40.77,PPT1959_CAT_CONUS.zip
3917918,132.21,71.8,30.76,7.22,36.24,13.51,3.72,21.14,17.13,7.55,1.02,36.36,PPT1959_CAT_CONUS.zip
3917920,91.84,51.78,20.07,3.49,29.28,13,2.86,16.84,12.5,8.25,0.21,24.9,PPT1959_CAT_CONUS.zip
3917922,84.46,46.75,15.13,2.57,27.36,13.37,2.98,14.06,11.35,8.04,0.16,22.74,PPT1959_CAT_CONUS.zip
3917924,82.14,44.99,13.4,2.15,26.78,13.49,3.04,13.37,10.79,7.86,0.12,21.74,PPT1959_CAT_CONUS.zip
3917926,76.33,37.44,9.73,1.45,25.43,13.78,3.17,12.33,9.39,7.54,0.05,19.51,PPT1959_CAT_CONUS.zip
3917946,72.89,30.59,11.58,1.63,17.63,12.91,4.24,11.17,7.42,5,0.11,18.42,PPT1959_CAT_CONUS.zip
3917948,90.06,50.17,13.47,2.75,23.55,11.83,3.25,14.19,11.32,6.13,0.11,20.84,PPT1959_CAT_CONUS.zip
3917950,85.6,46.63,11.46,2.33,21.92,12.32,3.24,12.97,10.38,5.95,0.07,19.53,PPT1959_CAT_CONUS.zip
948010046,82.39,43.74,10.65,2.02,21.69,12.42,3.22,12.59,9.71,5.95,0.06,19,PPT1959_CAT_CONUS.zip
948010047,83.59,44.4,11.33,2.11,23.06,12.52,3.23,13.05,10.15,6.34,0.07,19.64,PPT1959_CAT_CONUS.zip
948010048,76.33,37.44,9.73,1.45,25.43,13.79,3.18,12.33,9.39,7.54,0.05,19.51,PPT1959_CAT_CONUS.zip
948010089,84.35,47.48,14.43,2.39,26.92,13.28,3.02,13.72,11.22,7.82,0.14,22.28,PPT1959_CAT_CONUS.zip
948010091,83.43,45.98,13.55,2.25,26.39,13.25,3.06,13.52,10.91,7.64,0.12,21.69,PPT1959_CAT_CONUS.zip
948010092,88.43,49.07,13.44,2.59,24.1,12.17,3.23,14.01,11.18,6.46,0.11,20.89,PPT1959_CAT_CONUS.zip
948010095,77.69,38.89,9.89,1.57,24.39,13.44,3.18,12.35,9.42,7.11,0.05,19.32,PPT1959_CAT_CONUS.zip
