COMID,CAT_TAV_JAN1953,CAT_TAV_FEB1953,CAT_TAV_MAR1953,CAT_TAV_APR1953,CAT_TAV_MAY1953,CAT_TAV_JUN1953,CAT_TAV_JUL1953,CAT_TAV_AUG1953,CAT_TAV_SEP1953,CAT_TAV_OCT1953,CAT_TAV_NOV1953,CAT_TAV_DEC1953,filename
3917070,2.27,4.32,0.78,3.37,6.13,9.22,17.68,16.04,17.53,7.75,3.97,0.57,TAV1953_CAT_CONUS.zip
3917072,2.31,4.34,0.97,3.6,6.36,9.48,17.83,16.2,17.62,7.86,4.16,0.66,TAV1953_CAT_CONUS.zip
3917082,2.31,4.18,0.34,2.68,5.94,8.8,17.59,15.91,17.44,7.48,3.55,0.3,TAV1953_CAT_CONUS.zip
3917084,2.19,4.23,0.09,2.46,5.56,8.49,17.31,15.63,17.26,7.34,3.32,0.16,TAV1953_CAT_CONUS.zip
3917106,2.37,4.21,0.47,2.83,6.07,8.93,17.71,16.05,17.46,7.58,3.7,0.38,TAV1953_CAT_CONUS.zip
3917114,2.34,4.18,0.73,3.26,6.05,9.14,17.61,15.96,17.28,7.66,3.94,0.51,TAV1953_CAT_CONUS.zip
3917130,2.37,4.28,0.67,3.17,6.18,9.11,17.76,16.15,17.42,7.73,3.98,0.49,TAV1953_CAT_CONUS.zip
3917136,2.51,4.25,0.59,2.9,6.21,9.04,17.92,16.23,17.48,7.68,3.79,0.47,TAV1953_CAT_CONUS.zip
3917138,2.63,4.36,0.67,2.98,6.29,9.11,18.08,16.39,17.45,7.79,3.9,0.54,TAV1953_CAT_CONUS.zip
3917154,2.32,4.27,0.85,3.44,6.22,9.32,17.73,16.09,17.48,7.77,4.06,0.59,TAV1953_CAT_CONUS.zip
3917156,2.49,4.14,1.41,4.08,6.67,9.86,18.01,16.4,17.48,8.02,4.58,0.89,TAV1953_CAT_CONUS.zip
3917158,3.12,3.47,4.04,7.06,8.5,12.17,19.31,17.65,17.23,8.92,6.43,2.14,TAV1953_CAT_CONUS.zip
3917160,2.89,3.51,3.61,6.59,8.1,11.67,18.91,17.35,17.22,8.8,6.16,1.98,TAV1953_CAT_CONUS.zip
3917162,2.52,4.2,1.15,3.73,6.58,9.6,18.02,16.42,17.46,7.95,4.42,0.76,TAV1953_CAT_CONUS.zip
3917164,2.61,3.69,2.71,5.55,7.47,10.86,18.42,16.84,17.27,8.46,5.54,1.55,TAV1953_CAT_CONUS.zip
3917172,2.46,3.99,1.89,4.63,6.94,10.2,18.13,16.53,17.43,8.18,4.91,1.14,TAV1953_CAT_CONUS.zip
3917176,2.54,3.89,2.22,4.97,7.18,10.42,18.24,16.7,17.39,8.28,5.27,1.35,TAV1953_CAT_CONUS.zip
3917178,2.61,4.02,1.71,4.38,6.91,10.1,18.17,16.56,17.37,8.13,4.86,1.07,TAV1953_CAT_CONUS.zip
3917194,2.67,4.35,0.77,3.09,6.36,9.18,18.08,16.39,17.3,7.81,3.99,0.58,TAV1953_CAT_CONUS.zip
3917198,3.3,3.69,4.27,7.34,8.82,12.49,19.69,18.04,17.57,9.13,6.56,2.28,TAV1953_CAT_CONUS.zip
3917200,3.62,4,4.67,7.81,9.36,13.04,20.36,18.69,18.08,9.43,6.76,2.47,TAV1953_CAT_CONUS.zip
3917212,2.67,3.73,2.6,5.42,7.39,10.79,18.43,16.86,17.34,8.37,5.44,1.56,TAV1953_CAT_CONUS.zip
3917214,3.25,3.82,3.94,6.96,8.56,12.18,19.52,17.87,17.7,9.06,6.3,2.24,TAV1953_CAT_CONUS.zip
3917218,3.34,3.8,4.23,7.29,8.81,12.46,19.73,18.07,17.71,9.18,6.51,2.35,TAV1953_CAT_CONUS.zip
3917220,3.4,3.89,4.28,7.35,8.89,12.53,19.83,18.17,17.83,9.25,6.54,2.4,TAV1953_CAT_CONUS.zip
3917228,3.4,3.89,4.28,7.35,8.89,12.53,19.83,18.17,17.83,9.25,6.54,2.4,TAV1953_CAT_CONUS.zip
3917230,4,4.33,5.25,8.49,10.17,13.85,21.17,19.55,18.74,9.79,7.17,2.62,TAV1953_CAT_CONUS.zip
3917244,3.96,4.29,5.18,8.41,10.07,13.78,21.09,19.45,18.66,9.75,7.11,2.61,TAV1953_CAT_CONUS.zip
3917250,2.6,3.76,2.32,5.09,7.15,10.53,18.26,16.69,17.33,8.23,5.2,1.44,TAV1953_CAT_CONUS.zip
3917256,3.4,3.89,4.28,7.35,8.89,12.53,19.83,18.17,17.83,9.25,6.54,2.4,TAV1953_CAT_CONUS.zip
