COMID,CAT_PPT_JAN2010,CAT_PPT_FEB2010,CAT_PPT_MAR2010,CAT_PPT_APR2010,CAT_PPT_MAY2010,CAT_PPT_JUN2010,CAT_PPT_JUL2010,CAT_PPT_AUG2010,CAT_PPT_SEP2010,CAT_PPT_OCT2010,CAT_PPT_NOV2010,CAT_PPT_DEC2010,filename
3917070,77.16,31.52,75.46,98.56,69.21,49.31,6.19,11.82,19.56,96.37,79.01,108.44,PPT2010_CAT_CONUS.zip
3917072,75.98,31.17,74.55,96.75,67.7,48.52,6.28,12.13,18.39,94.53,77.02,106.63,PPT2010_CAT_CONUS.zip
3917082,76.49,35.98,72.53,83.92,71.39,56.13,8.7,10.01,19.23,80.62,64.31,99.76,PPT2010_CAT_CONUS.zip
3917084,76.68,34.27,75.48,89.49,68.98,52.61,7.72,10.86,18.72,84.14,67.69,108.29,PPT2010_CAT_CONUS.zip
3917100,71.05,24.31,39.75,89,35.95,24.22,4.74,7.17,17.56,73.95,55.68,116.37,PPT2010_CAT_CONUS.zip
3917106,75.37,34.41,68.96,83.66,68.42,53.5,8.72,9.32,18.22,77.6,62.85,101.05,PPT2010_CAT_CONUS.zip
3917114,75.19,30.74,67.94,89.48,60.38,45.26,7.49,9.53,16.36,78.83,65.2,112.83,PPT2010_CAT_CONUS.zip
3917130,73.94,29.99,63.42,89.37,61.21,46.23,8.05,8.93,16.25,73.56,62.61,113.65,PPT2010_CAT_CONUS.zip
3917136,73.12,32.96,64.81,78.86,65.21,50.69,9.01,7.83,16.52,73.58,59.86,95.39,PPT2010_CAT_CONUS.zip
3917138,70.19,29.81,59.6,76.95,59.11,44.76,8.9,6.26,13.83,68.66,57.29,95.22,PPT2010_CAT_CONUS.zip
3917154,75.7,31.04,72.08,93.9,64.91,47.31,6.75,11.11,17.61,88.36,72.37,109.12,PPT2010_CAT_CONUS.zip
3917156,74.68,29.26,63.28,90.23,57.33,42.34,7.05,9.23,16.13,80.42,66.87,110.54,PPT2010_CAT_CONUS.zip
3917158,77,28.38,48.16,94.43,38.97,26.2,4.6,7.98,19.92,79.53,62.94,127.71,PPT2010_CAT_CONUS.zip
