COMID,CAT_PPT_JAN2003,CAT_PPT_FEB2003,CAT_PPT_MAR2003,CAT_PPT_APR2003,CAT_PPT_MAY2003,CAT_PPT_JUN2003,CAT_PPT_JUL2003,CAT_PPT_AUG2003,CAT_PPT_SEP2003,CAT_PPT_OCT2003,CAT_PPT_NOV2003,CAT_PPT_DEC2003,filename
3917070,91.42,46.76,88.1,100.92,26.08,2.38,11.13,13.68,20.23,5.85,65.78,172.59,PPT2003_CAT_CONUS.zip
3917072,88.99,46.02,87.28,99.51,26.46,2.38,11.11,13.85,19.19,5.74,63.11,169.98,PPT2003_CAT_CONUS.zip
3917082,69.98,47.32,78.81,96.61,22.77,2.72,13.76,17.13,15.55,4.43,73.79,131.95,PPT2003_CAT_CONUS.zip
3917084,75.36,49.96,82.18,95.61,21.35,2.62,13.64,17.02,15.62,4.73,77.73,144.24,PPT2003_CAT_CONUS.zip
3917100,61.86,32.06,51.13,70.68,16.93,1.81,9.48,10.34,7.89,3.04,46.43,97.22,PPT2003_CAT_CONUS.zip
3917106,69.02,45.96,77.73,93.13,22.69,2.67,13.39,17.11,14.73,4.18,70.3,126.96,PPT2003_CAT_CONUS.zip
3917114,76.34,47.82,82.38,96.22,21.9,2.47,12.46,15.97,14.12,4.55,70.3,143.33,PPT2003_CAT_CONUS.zip
3917130,75.18,49.35,81.71,86.53,22.48,2.49,12.94,16.82,13.55,4.26,71.4,136.72,PPT2003_CAT_CONUS.zip
3917136,62.06,38.93,71.74,89.53,22.11,2.63,12.53,17.26,13.31,3.44,59.81,106.38,PPT2003_CAT_CONUS.zip
3917138,57.07,32.77,66.78,83.41,21.03,2.51,11.4,17.37,11.4,2.7,49.13,88.7,PPT2003_CAT_CONUS.zip
3917154,83.96,46.81,85.34,98.16,24.6,2.41,11.67,14.71,17.19,5.27,66.19,159.43,PPT2003_CAT_CONUS.zip
3917156,79.19,44.87,83.63,99.51,24.71,2.34,11.2,14.28,14.78,4.67,61.17,145.87,PPT2003_CAT_CONUS.zip
3917158,62.34,37.22,61.06,72.3,18.81,1.75,10.23,11.89,8.6,2.96,47.68,96.57,PPT2003_CAT_CONUS.zip
3917160,64.37,41.65,68.93,81.26,20.39,1.62,9.85,11.73,9.15,3.13,55.18,101.28,PPT2003_CAT_CONUS.zip
3917162,74.99,47.06,81.77,90.87,23.79,2.45,12.18,16.04,12.87,4.12,66.39,134.3,PPT2003_CAT_CONUS.zip
3917164,65.45,46.66,81.87,100.41,23.55,1.85,11.1,12.13,9.72,3.28,62.06,103.6,PPT2003_CAT_CONUS.zip
3917172,75.89,46.34,84.81,100.88,24.79,2.1,11.18,12.91,13.89,4.35,62.7,132.68,PPT2003_CAT_CONUS.zip
3917176,75.58,44.76,83.31,101.8,22.65,2.13,11.46,14.17,12.03,4,58.98,126.97,PPT2003_CAT_CONUS.zip
3917178,75.86,45.42,83.65,102.07,24.83,2.33,11.41,14.63,12.61,4.16,64.39,133.7,PPT2003_CAT_CONUS.zip
3917194,71.54,46.18,82.07,98.58,26.89,2.76,12.74,16.46,13.28,3.89,68.42,123.05,PPT2003_CAT_CONUS.zip
3917198,60.84,32.95,49.37,66.84,17.46,1.8,9.84,11.52,7.59,2.86,46.43,94.39,PPT2003_CAT_CONUS.zip
3917200,56.27,23.14,35.83,55.96,14.99,1.8,10.8,16.11,5.84,2.69,43.1,89.23,PPT2003_CAT_CONUS.zip
3917222,61.29,33.93,52.19,68.63,18.18,1.73,10.44,12.29,7.8,2.8,47.67,95.16,PPT2003_CAT_CONUS.zip
3917230,52.48,14.51,24.51,39.38,11.56,1.99,12.43,14.85,5.21,2.73,37.46,79.96,PPT2003_CAT_CONUS.zip
3917244,52.67,14.92,27.14,44.23,12.73,1.96,12.89,15.77,5.47,2.6,36.58,80.61,PPT2003_CAT_CONUS.zip
3917266,54.75,20.43,34.03,53.32,14.16,1.82,11.01,17.7,5.42,2.7,41.73,87.5,PPT2003_CAT_CONUS.zip
3917912,77.24,44.03,82.19,98.8,24.13,2.37,11.22,14.61,13.75,4.44,60.27,141.58,PPT2003_CAT_CONUS.zip
3917914,56.02,32.1,66.09,74.97,20.6,2.73,12.18,17.55,11.01,2.82,52.23,85.8,PPT2003_CAT_CONUS.zip
3917916,67.75,41.51,75.94,87.65,23.45,2.53,12.04,17.1,12.75,3.54,61.93,114.29,PPT2003_CAT_CONUS.zip
3917918,67.33,41.18,72.76,87.83,20.72,1.88,10.86,12.74,9.89,3.34,53.76,107.61,PPT2003_CAT_CONUS.zip
3917920,62.19,36.83,59.95,71.82,18.64,1.76,10.13,11.74,8.5,2.95,47.5,96.32,PPT2003_CAT_CONUS.zip
3917922,60.62,32,46.8,66.68,16.62,1.88,8.97,10.03,7.39,2.96,45.5,93.96,PPT2003_CAT_CONUS.zip
3917924,59.3,28.24,40.03,60.98,15.96,1.94,9.26,11.53,6.78,3,44.36,91.84,PPT2003_CAT_CONUS.zip
3917926,56.59,17.94,26.52,47.58,14.84,2,11.07,17.34,5.64,3.19,42.21,88.51,PPT2003_CAT_CONUS.zip
3917946,51.88,16.86,27.39,38.56,9.82,2.06,13.87,14.16,2.49,2.8,39.59,82.22,PPT2003_CAT_CONUS.zip
3917948,55.14,21.12,34.46,53.98,14.38,1.81,10.97,17.3,5.52,2.69,42.1,87.96,PPT2003_CAT_CONUS.zip
3917950,53.75,17.71,28.1,49.53,13.97,1.94,11.95,17.44,5.03,2.64,39.1,83.79,PPT2003_CAT_CONUS.zip
948010046,53.9,16.04,28.35,46.65,13.71,1.95,12.45,17.28,4.8,2.68,37.61,81.89,PPT2003_CAT_CONUS.zip
948010047,54.76,17.97,29.93,49.16,14.11,1.91,11.65,17.44,5.19,2.79,40.02,85.24,PPT2003_CAT_CONUS.zip
948010048,56.59,17.94,26.52,47.58,14.84,2.01,11.08,17.35,5.64,3.2,42.21,88.51,PPT2003_CAT_CONUS.zip
948010089,59.73,30.59,43.41,64.21,16.15,1.91,8.87,10.33,7.01,2.93,44.78,92.48,PPT2003_CAT_CONUS.zip
948010091,58.82,27.71,39.89,60.61,15.77,1.92,9.4,12.06,6.66,2.95,44.12,91.43,PPT2003_CAT_CONUS.zip
948010092,55.8,22.58,36.02,55.63,14.58,1.83,10.55,16.13,5.75,2.74,42.37,88.55,PPT2003_CAT_CONUS.zip
948010095,55.85,17.3,26.82,47.12,14.52,1.99,11.48,17.31,5.4,3.06,40.87,86.59,PPT2003_CAT_CONUS.zip
948010096,54.99,20.87,34.41,53.76,14.25,1.82,10.92,17.31,5.49,2.71,41.81,87.65,PPT2003_CAT_CONUS.zip
