comid,areasqkm,area_weight,totda,nhdptotda
3917070,1.6476641546557254,0.006906454699984929,1.6476641546557254,1.6524
3917072,0.08670461658365454,3.63436629377723e-4,0.08670461658365454,0.0864
3917082,1.4796601085123264,0.006202238169677509,1.4796601085123264,1.4832
3917084,14.98966096839984,0.06283162388030286,14.98966096839984,15.0039
3917100,1.3181101984216486,0.005525075209813862,1.3181101984216486,1.3194
3917106,10.19020310409315,0.042713908610077435,26.659524181005317,26.6904
3917114,1.9855813801030637,0.008322890205547212,1.9855813801030637,1.989
3917130,9.15839593364116,0.038388919526767984,76.38829502837316,76.4964
3917136,1.7936800594146354,0.007518504327237661,1.7936800594146354,1.791
3917138,0.11418535104027822,4.786266376756478e-4,0.11418535104027822,0.1188
3917154,7.421029524699776,0.031106463107039465,9.155398295939156,9.1674
3917156,3.1742526332585213,0.013305400834242559,3.1742526332585213,3.1797
3917158,2.146409021493008,0.008997025657621279,2.146409021493008,2.151
3917160,5.336577556238268,0.02236914060488073,5.336577556238268,5.346
3917162,7.195335597830351,0.030160429974267274,85.56921200630657,85.6917
3917164,9.26894229780894,0.038852292753778765,9.26894229780894,9.2826
3917172,8.120926889242988,0.0340401977696513,8.120926889242988,8.1387
3917176,4.747884478996807,0.01990153696206651,122.43247241828853,122.6133
3917178,6.201148706287633,0.025993132463814784,109.56366105004874,109.7181
3917194,19.21323527375145,0.08053542870576269,19.21323527375145,19.2456
3917198,0.3133947958012788,0.0013136457173608988,155.10203970986822,155.3292
3917200,0.07460961736144475,3.1273845524526516e-4,165.85982531073392,166.104
3917222,2.310340956350637,0.00968417326520619,2.310340956350637,2.3112
3917230,2.810803235825539,0.011781943039755188,2.810803235825539,2.8152
3917244,12.123757239967084,0.05081871808332358,222.895365686557,951.579
3917266,1.1660089982124842,0.0048875180680324854,1.1660089982124842,753.3486
3917912,5.463649408256849,0.02290178312619169,100.18825971050258,100.3293
3917914,10.445095326996887,0.043782331192366936,12.3529607374518,12.3732
3917916,9.004178902523437,0.037742493532507485,40.57037491372669,40.635
3917918,13.10218342257699,0.05491995199581739,144.80359813867446,145.0116
3917920,2.502060197661185,0.010487795927922577,9.985046775392462,10.0053
3917922,9.729965772771779,0.040784748306971146,9.729965772771779,9.7434
3917924,5.52080117830999,0.023141344149462513,6.838911376731639,6.8499
3917926,3.094554716892912,0.01297133393868806,3.094554716892912,3.0987
3917946,12.862565143059339,0.053915552653815084,238.56873406544187,967.2876
3917948,3.192498548059376,0.013381881580440633,171.6751493566745,169.2963
3917950,16.77397186277783,0.07031085581472951,210.7716084465899,939.4407
948010046,0.11601896444484387,4.863125291724886e-4,12.9808853834895,179.4267
948010047,0.24901885733311846,0.001043803406630854,12.864866419044656,179.3097
948010048,0.05076447074437964,2.127876100078329e-4,12.615847561711538,179.0595
948010089,0.9532102107324938,0.003995537028213507,10.683175983504272,10.6992
948010091,2.6316169973426082,0.011030854515163453,2.6316169973426082,169.0605
948010092,0.31248454153055777,0.0013098302372046794,0.31248454153055777,166.4199
948010095,6.021274433454297,0.02523915993033102,6.021274433454297,944.1513
948010096,2.1543184119812944,0.009030179165851393,21.156478228925092,924.7977
