fname,size,size_mb,url
NHDV2_RF7100_CONUS.xml,20022,0.020021999999999998,https://www.sciencebase.gov/catalog/file/get/573b6028e4b0dae0d5e3ae16?f=__disk__bb%2F1c%2Fc7%2Fbb1cc7b3035a696882b45c866f5d325a69c0e07a
BFI_CONUS.zip,17271698,17.271698,https://www.sciencebase.gov/catalog/file/get/5669a8e3e4b08895842a1d4f?f=__disk__8b%2Fd6%2F90%2F8bd6901b9d1bf7940a8219dc500f0b04cb381206
NHDV2_BFI_CONUS.xml,20916,0.020916,https://www.sciencebase.gov/catalog/file/get/5669a8e3e4b08895842a1d4f?f=__disk__27%2Fe4%2Fa9%2F27e4a97fd668a182350a4018ff7e5219b38430f6
BANKFULL_CONUS.zip,18641926,18.641925999999998,https://www.sciencebase.gov/catalog/file/get/5cf02bdae4b0b51330e22b85?f=__disk__a1%2F89%2F74%2Fa189746226ec5226f3db2d56b0a31d76fa5a3ac1
NHDV2_Bankfull_Width_Area_Depth_Final.xml,15493,0.015493,https://www.sciencebase.gov/catalog/file/get/5cf02bdae4b0b51330e22b85?f=__disk__5c%2F77%2Fab%2F5c77abefb7ab366df8da6775ffffa4f36a76c336
CONTACT_CONUS.zip,24000168,24.000168,https://www.sciencebase.gov/catalog/file/get/56f96fc5e4b0a6037df06b12?f=__disk__f1%2F33%2F98%2Ff133982f4fbc8161da32fe6c2cf19d40cf66d914
NHDV2_CONTACT_CONUS.xml,20827,0.020827,https://www.sciencebase.gov/catalog/file/get/56f96fc5e4b0a6037df06b12?f=__disk__b5%2Fff%2F8c%2Fb5ff8c6381c05a1c42a9f34bae7c4cd81872f319
NHDV2_CONTACT_CONUS.xml,20827,0.020827,https://www.sciencebase.gov/catalog/file/get/56f96fc5e4b0a6037df06b12?f=__disk__90%2Fbd%2F96%2F90bd96371caa61adfc6df2a3d08fd8999fd579b3
RECHG_CONUS.zip,20751687,20.751687,https://www.sciencebase.gov/catalog/file/get/56f97577e4b0a6037df06b5a?f=__disk__b5%2F59%2F2f%2Fb5592f2d23263cf8fc99b59805643329d6bc37e8
NHDV2_RECHG_CONUS.xml,19305,0.019305,https://www.sciencebase.gov/catalog/file/get/56f97577e4b0a6037df06b5a?f=__disk__bf%2F11%2F25%2Fbf1125dbe23054c4dbdf6047521dd0ec096b5e15
WB5100_ANN_CONUS.zip,21665979,21.665979,https://www.sciencebase.gov/catalog/file/get/56fd5bd0e4b0c07cbfa40473?f=__disk__9c%2F5f%2Fcd%2F9c5fcde225218df20e712edb26039e26985dadbf
NHDV2_WBANN5100_CONUS.xml,47091,0.047091,https://www.sciencebase.gov/catalog/file/get/56fd5bd0e4b0c07cbfa40473?f=__disk__46%2Fa5%2F8f%2F46a58fcde0f105ba34a175edca1fb956ca958938
RUN7100_CONUS.zip,13207494,13.207493999999999,https://www.sciencebase.gov/catalog/file/get/578f8ad8e4b0ad6235cf6e43?f=__disk__35%2F93%2F0c%2F35930c7956825eeeb4c5e2c2b8c73a762c08de36
NHDV2_RUNOFF7100_CONUS.xml,20459,0.020458999999999998,https://www.sciencebase.gov/catalog/file/get/578f8ad8e4b0ad6235cf6e43?f=__disk__58%2Fda%2Fd5%2F58dad5bedb750cf4ece0b1ff50372ad9837c2de0
IEOF_CONUS.zip,16066634,16.066634,https://www.sciencebase.gov/catalog/file/get/56f974e2e4b0a6037df06b55?f=__disk__c4%2F2c%2Fdf%2Fc42cdf499309a65e175afbe478f01e6b235d0bc3
NHDV2_IEOF_CONUS.xml,20857,0.020857,https://www.sciencebase.gov/catalog/file/get/56f974e2e4b0a6037df06b55?f=__disk__7b%2F53%2F93%2F7b53931c85672e5d2c6e6012fae050371ca2b668
SATOF_CONUS.zip,12086671,12.086670999999999,https://www.sciencebase.gov/catalog/file/get/56f97acbe4b0a6037df06b6a?f=__disk__de%2Fc6%2Fdd%2Fdec6dddb31afd01cda688a06cee359a438d5ef95
NHDV2_SATOF_CONUS.xml,20623,0.020623,https://www.sciencebase.gov/catalog/file/get/56f97acbe4b0a6037df06b6a?f=__disk__1c%2Fa3%2F37%2F1ca337cd98eeb5d54a6016c7cc104fc5ce53aa42
EWT_CONUS.zip,23980943,23.980943,https://www.sciencebase.gov/catalog/file/get/56f97456e4b0a6037df06b50?f=__disk__b1%2Fd1%2Fd3%2Fb1d1d325bf9c8f57f06d07714cc300b69a31f5ad
NHDV2_WTDEP_CONUS.xml,20104,0.020104,https://www.sciencebase.gov/catalog/file/get/56f97456e4b0a6037df06b50?f=__disk__1d%2F09%2F53%2F1d0953070ac97f50c6368f9ef35a5eac13bf5822
SOILS_GMU_A_P_CONUS.zip,18379517,18.379517,https://www.sciencebase.gov/catalog/file/get/58580f18e4b0e40e53c237a5?f=__disk__29%2Fd9%2F04%2F29d904b647159d3116a1b5953eee28f0a1a5eee9
SOILS_GMU_C_P_CONUS.zip,18212796,18.212796,https://www.sciencebase.gov/catalog/file/get/58580f18e4b0e40e53c237a5?f=__disk__1a%2F9f%2F42%2F1a9f4263e25547be0f724ef7127c8774e4ca3927
SOILS_A_P_CONUS.zip,26775437,26.775437,https://www.sciencebase.gov/catalog/file/get/58580f18e4b0e40e53c237a5?f=__disk__6b%2Ff4%2F75%2F6bf47511c38c8881253f647107407e16f7b0d167
SOILS_C_P_CONUS.zip,26421401,26.421401,https://www.sciencebase.gov/catalog/file/get/58580f18e4b0e40e53c237a5?f=__disk__63%2Faf%2F2f%2F63af2f02f548a2f8b0b5bcef7f9d445342cf0ae7
NHDV2_Soils_P_Final.xml,34393,0.034393,https://www.sciencebase.gov/catalog/file/get/58580f18e4b0e40e53c237a5?f=__disk__f5%2F79%2F6f%2Ff5796faac9b6fcf5aaecff34f935bc5f1188c68b
PMAP_CONUS.zip,24873142,24.873141999999998,https://www.sciencebase.gov/catalog/file/get/5b297a25e4b059207627a3ad?f=__disk__36%2F3b%2Fcf%2F363bcf26f597b1c1509e415f730a99b9527188f6
NHDV2_NATLP_CONUS_Final.xml,21353,0.021353,https://www.sciencebase.gov/catalog/file/get/5b297a25e4b059207627a3ad?f=__disk__27%2Ffa%2Fa2%2F27faa21d752f785ea379981c9a2868016c08d24c
NHDV2_Monthly_TAV_WB4515_CONUS.xml,18960,0.018959999999999998,https://www.sciencebase.gov/catalog/file/get/5730cf70e4b0dae0d5db1f1c?f=__disk__8b%2F64%2F3d%2F8b643d9ab7e8148a4209001b1021acdbf3dd5463
NHDV2_Monthly_PPT_WB4515_CONUS.xml,19475,0.019475,https://www.sciencebase.gov/catalog/file/get/5730cf1ce4b0dae0d5db1f17?f=__disk__3b%2Fea%2F65%2F3bea659e5dcf271512abc759a4f0e8af44ef66d5
WB5100_ACC_CONUS.zip,44734816,44.734815999999995,https://www.sciencebase.gov/catalog/file/get/573b5344e4b0dae0d5e3ad9c?f=__disk__6f%2F6b%2Fcc%2F6f6bcc994232cef682e034c1ff3beff38c1edb67
WB5100_CAT_CONUS.zip,32476947,32.476946999999996,https://www.sciencebase.gov/catalog/file/get/573b5344e4b0dae0d5e3ad9c?f=__disk__5e%2F50%2Ff7%2F5e50f79b189f663f0d684f346a12ec3526a07651
WB5100_TOT_CONUS.zip,44866612,44.866611999999996,https://www.sciencebase.gov/catalog/file/get/573b5344e4b0dae0d5e3ad9c?f=__disk__50%2F17%2F57%2F50175747122f8a725ea7de9b8ef6f6579a6a4aac
NHDV2_WB_Runoff_5100_CONUS_Final.xml,35794,0.035794,https://www.sciencebase.gov/catalog/file/get/573b5344e4b0dae0d5e3ad9c?f=__disk__9f%2F5c%2F50%2F9f5c50b2f0da613b0969c574716d13b67903e274
NHDV2_Monthly_RUN_WB4515_CONUS.xml,20322,0.020322,https://www.sciencebase.gov/catalog/file/get/5730cf31e4b0dae0d5db1f1a?f=__disk__a4%2Fac%2Fe8%2Fa4ace81578a712485779aad64003c8e20c774189
PET2015_ANN_CONUS.zip,17033361,17.033361,https://www.sciencebase.gov/catalog/file/get/57ffb392e4b0824b2d16f4c6?f=__disk__a0%2F4b%2Fb9%2Fa04bb934df1923d34f3fc5e5fddd8508a308b38c
PET2014_ANN_CONUS.zip,16972620,16.97262,https://www.sciencebase.gov/catalog/file/get/57ffb392e4b0824b2d16f4c6?f=__disk__23%2F86%2Ff5%2F2386f5585a3ffdd237f0c65eb79db554342a72f9
NHDV2_Annual_PET_WB1415_CONUS.xml,18447,0.018446999999999998,https://www.sciencebase.gov/catalog/file/get/57ffb392e4b0824b2d16f4c6?f=__disk__dc%2Fe8%2Fd6%2Fdce8d6f3b41e9ec33f9364a352e5e73055cfdc92
PPT1945_ANN_CONUS.zip,20630784,20.630784,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__6b%2F57%2F68%2F6b5768dc7465b38b7225aa690eeeb8701bf89bd2
PPT1950_ANN_CONUS.zip,20525132,20.525132,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__a1%2Fbc%2Fd4%2Fa1bcd4c9928090738119d45a40fa249ca29d644e
PPT1957_ANN_CONUS.zip,20702770,20.702769999999997,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__54%2F3b%2F3e%2F543b3e7da9f13c386c79d90861fa865d03c94cd9
PPT1948_ANN_CONUS.zip,20401497,20.401497,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__32%2F79%2Fad%2F3279ad94107a691a1858ce5cdb5ca944f6ab1fbf
PPT1949_ANN_CONUS.zip,20456679,20.456678999999998,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__0d%2Fc5%2Fcb%2F0dc5cbd28dd452e81829d74312614a4c52cea15e
PPT1967_ANN_CONUS.zip,20587584,20.587584,https://www.sciencebase.gov/catalog/file/get/57bf5c07e4b0f2f0ceb75b1b?f=__disk__9e%2Fa4%2F4e%2F9ea44e283186b03f7f0f73ab1e5e9d29cc933b6c
