comid,comid_wy,wa_yr,ppt_jan_wy,ppt_feb_wy,ppt_mar_wy,ppt_apr_wy,ppt_may_wy,ppt_jun_wy,ppt_jul_wy,ppt_aug_wy,ppt_sep_wy,ppt_oct_wy,ppt_nov_wy,ppt_dec_wy,ppt_jan_pwy,ppt_feb_pwy,ppt_mar_pwy,ppt_apr_pwy,ppt_may_pwy,ppt_jun_pwy,ppt_jul_pwy,ppt_aug_pwy,ppt_sep_pwy,tav_jan_wy,tav_feb_wy,tav_mar_wy,tav_apr_wy,tav_may_wy,tav_jun_wy,tav_jul_wy,tav_aug_wy,tav_sep_wy,tav_oct_wy,tav_nov_wy,tav_dec_wy,tav_jan_pwy,tav_feb_pwy,tav_mar_pwy,tav_apr_pwy,tav_may_pwy,tav_jun_pwy,tav_jul_pwy,tav_aug_pwy,tav_sep_pwy,run_jan_wy,run_feb_wy,run_mar_wy,run_apr_wy,run_may_wy,run_jun_wy,run_jul_wy,run_aug_wy,run_sep_wy,run_oct_wy,run_nov_wy,run_dec_wy,run_jan_pwy,run_feb_pwy,run_mar_pwy,run_apr_pwy,run_may_pwy,run_jun_pwy,run_jul_pwy,run_aug_pwy,run_sep_pwy,ppt_ann_wy,ppt_fall_wy,ppt_wint_wy,ppt_sprg_wy,ppt_summ_wy,ppt_ann_pwy,ppt_wint_pwy,ppt_sprg_pwy,ppt_summ_pwy,ppt_sum1,ppt_sum2,ppt_sum3,ppt_sum4,run_ann_wy,run_fall_wy,run_wint_wy,run_sprg_wy,run_summ_wy,run_ann_pwy,run_wint_pwy,run_sprg_pwy,run_summ_pwy,run_sum1,run_sum2,run_sum3,run_sum4,tav_ann_wy,tav_fall_wy,tav_wint_wy,tav_sprg_wy,tav_summ_wy,tav_ann_pwy,tav_wint_pwy,tav_sprg_pwy,tav_summ_pwy,tav_sum1,tav_sum2,tav_sum3,tav_sum4,drain_sqkm,slope_pct_30m,elev_mean_m_basin_30m,elev_min_m_basin_30m,elev_max_m_basin_30m,elv_rng,eco3,hlr1,hlr2,hlr3,hlr4,hlr5,hlr6,hlr7,hlr8,hlr9,hlr10,hlr11,hlr12,hlr13,hlr14,hlr15,hlr16,hlr17,hlr18,hlr19,hlr20,pptavg_cat,pptavg_basin,t_avg_cat,t_avg_basin,t_min_basin,t_max_basin,cat_ann_min_precip,ann_min_precip,cat_ann_max_precip,ann_max_precip,wd_jan_basin,wd_feb_basin,wd_mar_basin,wd_apr_basin,wd_may_basin,wd_jun_basin,wd_jul_basin,wd_aug_basin,wd_sep_basin,wd_oct_basin,wd_nov_basin,wd_dec_basin,ann_cons_wetdays,wd_basin,wdmin_basin,wdmax_basin,et_cat,et,pet_cat,pet,rh_cat,rh_basin,snow_pct_precip,fst32f_basin,lst32f_basin,contact,bfi_ave,topwet,perdun,rfact,perhor,depth_wattab,siltave,clayave,sandave,hga,hgac,hgad,hgb,hgbc,hgbd,hgc,hgcd,hgd,hgvar,kfact_up,no10ave,no200ave,no4ave,omave,permave,rockdepave,bdave,awcave,wtdepave,gneiss,granitic,ultramafic,quarternary,sedimentary,volcanic,water,anorthositic,intermediate,sgeo1,sgeo2,sgeo3,sgeo4,sgeo5,sgeo6,sgeo7,sgeo8,sgeo9,sgeo10,sgeo11,sgeo12,sgeo13,sgeo14,sgeo15,sgeo16,sgeo17,sgeo18,sgeo19,sgeo20,sgeo21,sgeo22,sgeo23,sgeo24,sgeo25,sgeo26,sgeo27,sgeo28,sgeo29,sgeo30,sgeo31,sgeo32,sgeo33,sgeo34,sgeo35,sgeo36,sgeo37,sgeo38,sgeo39,sgeo40,sgeo41,sgeo42,sgeo43,sgeo44,sgeo45,ko_pct,ca_o_pct,fe_o_pct,mg_o_pct,p_pct,s_pct,si_o_pct,ucs,lperm,recharge,krug_runoff
3917198,3917198_1950,1950,72.73748236,23.50081267,41.00074663,15.13840589,8.227823373,17.7225811,0.131641999,5.233670198,13.18397419,125.4056983,32.44241446,51.16159772,10.15834298,35.56456769,26.12561446,4.670994601,28.55881251,6.937781645,0.608215915,0.234161308,9.615434922,-1.030971143,1.387875995,0.648536291,2.091472055,4.536326585,5.815492703,8.806656338,8.537146629,7.466166867,4.345038951,1.904611904,1.465312562,-2.797827713,0.123337228,0.744774747,3.030148398,4.930830514,6.367412714,8.448227538,7.779712793,7.633425872,2.608224776,19.63179222,26.46193649,18.23331477,9.252370941,5.305583107,2.215146866,1.364523624,1.209758284,32.63986025,25.71523433,34.98954743,0.38535608,8.668517233,20.36217305,20.20689123,14.47027306,6.866978262,3.28958315,1.639037567,1.293220634,405.8868489,209.0097105,137.2390417,41.08881036,18.54928638,170.3648394,71.84852512,40.16758876,10.45781214,576.2516883,416.344661,446.0544377,477.735374,179.6272931,93.34464201,48.70195348,32.79126882,4.789428773,79.39866135,29.41604636,41.54414255,6.221841351,259.0259544,185.8491344,221.1714356,209.0433394,45.97366574,7.714963416,1.005441143,12.44329134,24.80996983,41.174052,-1.929715737,14.32839163,23.8613662,87.14771773,69.83503194,60.30205736,44.04395,155.147,8.953380078,764.0312298,878.13,2524.2,1646.07,4,0,0,0,0,0,0,0,0,0,0,0,0.229708909,0.001674441,0.302433153,19.63664189,0,26.91241088,0,0,0,536.77,292.1326045,9.88,6.9616,0.754579918,6.659591374,4.91912782,6,47.67271353,82.55,4.449870599,3.935237756,4.497782859,3.242925931,2.870060695,2.339496205,0.941657385,1.412486078,1.493349397,2.796239944,4.907046665,5.149782198,1.10903171,38.0361933,0.941657385,5.159932568,455,229.8172397,618.99,236.8197638,65,30.3582174,17.40787666,121.2001976,80.71722981,25.16452329,33.87171159,4.596529639,0,134.3503231,0.098494776,4.75,17.14780225,9.694571573,20.23996234,11.79065156,0,0,18.86277829,0,0,7.62892777,0,8.800615109,0,0.083156206,30.01638934,17.90899274,32.53526328,0.594785794,1.66890853,22.43988893,0.578846501,0.05362756,2.700781624,0,0,0,0,0,47.08286927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.08286927,0,0,0.858021844,2.977720374,3.459112585,1.68207897,0.121278621,0.009416574,27.51089354,61.89271037,0.184737633,41.19208546,4.090492506
3917198,3917198_1951,1951,51.78359858,40.73053584,10.23819018,22.06820529,21.00610159,0.24191036,0.714290678,3.659796491,0.238979968,37.92531684,59.70279137,90.79390399,72.73748236,23.50081267,41.00074663,15.13840589,8.227823373,17.7225811,0.131641999,5.233670198,13.18397419,0.096285131,1.385994586,0.501438733,3.346023993,4.4335323,6.752440102,8.608482151,8.162021006,8.065907884,3.628563937,1.106660982,-1.126916657,-1.030971143,1.387875995,0.648536291,2.091472055,4.536326585,5.815492703,8.806656338,8.537146629,7.466166867,37.9737396,36.94171052,18.75444639,11.92128572,6.73858864,2.854562104,1.456991858,0.891662484,0.365778149,2.082303479,13.39534282,12.71692194,2.608224776,19.63179222,26.46193649,18.23331477,9.252370941,5.305583107,2.215146866,1.364523624,1.209758284,339.1036212,188.4220122,102.7523246,43.31621724,4.613067137,405.8868489,137.2390417,41.08881036,18.54928638,744.9904701,357.6529076,380.1924315,476.3426629,146.0933337,28.19456823,93.66989652,21.51443647,2.714432491,179.6272931,48.70195348,32.79126882,4.789428773,325.7206268,150.8827625,178.8846025,194.7952872,44.96043415,3.608308261,1.98371845,14.53199639,24.83641104,45.97366574,1.005441143,12.44329134,24.80996983,90.93409988,69.77040398,57.40372549,45.96587529,155.147,8.953380078,764.0312298,878.13,2524.2,1646.07,4,0,0,0,0,0,0,0,0,0,0,0,0.229708909,0.001674441,0.302433153,19.63664189,0,26.91241088,0,0,0,536.77,292.1326045,9.88,6.9616,0.754579918,6.659591374,4.91912782,6,47.67271353,82.55,4.449870599,3.935237756,4.497782859,3.242925931,2.870060695,2.339496205,0.941657385,1.412486078,1.493349397,2.796239944,4.907046665,5.149782198,1.10903171,38.0361933,0.941657385,5.159932568,455,229.8172397,618.99,236.8197638,65,30.3582174,17.40787666,121.2001976,80.71722981,25.16452329,33.87171159,4.596529639,0,134.3503231,0.098494776,4.75,17.14780225,9.694571573,20.23996234,11.79065156,0,0,18.86277829,0,0,7.62892777,0,8.800615109,0,0.083156206,30.01638934,17.90899274,32.53526328,0.594785794,1.66890853,22.43988893,0.578846501,0.05362756,2.700781624,0,0,0,0,0,47.08286927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.08286927,0,0,0.858021844,2.977720374,3.459112585,1.68207897,0.121278621,0.009416574,27.51089354,61.89271037,0.184737633,41.19208546,4.090492506
3917198,3917198_1952,1952,52.47007414,40.30858825,30.61445009,6.957334994,18.55415994,27.25017028,12.0688326,4.838977661,5.964871616,5.710016539,24.11339398,94.01370841,51.78359858,40.73053584,10.23819018,22.06820529,21.00610159,0.24191036,0.714290678,3.659796491,0.238979968,-0.867488703,0.878424765,-0.032149497,2.70652627,4.848793271,5.367351655,9.086676428,8.041756682,8.133542497,5.352587802,-0.114415314,-0.554984508,0.096285131,1.385994586,0.501438733,3.346023993,4.4335323,6.752440102,8.608482151,8.162021006,8.065907884,15.96546214,33.17460556,29.64787967,33.37056473,26.40764408,15.84227231,7.843127468,3.860640418,2.10654724,1.188375754,0.833091901,3.997217308,37.9737396,36.94171052,18.75444639,11.92128572,6.73858864,2.854562104,1.456991858,0.891662484,0.365778149,322.8645785,123.8371189,123.3931125,52.76166522,22.87268188,339.1036212,102.7523246,43.31621724,4.613067137,661.9681997,327.4776456,366.1807957,425.6169031,174.2374286,6.018684962,78.78794737,75.62048113,13.81031513,146.0933337,93.66989652,21.51443647,2.714432491,320.3307623,176.9518611,195.7518651,267.9073251,42.84662135,4.68318798,-0.021213435,12.9226712,25.26197561,44.96043415,1.98371845,14.53199639,24.83641104,87.8070555,67.68303239,57.37861774,44.8303398,155.147,8.953380078,764.0312298,878.13,2524.2,1646.07,4,0,0,0,0,0,0,0,0,0,0,0,0.229708909,0.001674441,0.302433153,19.63664189,0,26.91241088,0,0,0,536.77,292.1326045,9.88,6.9616,0.754579918,6.659591374,4.91912782,6,47.67271353,82.55,4.449870599,3.935237756,4.497782859,3.242925931,2.870060695,2.339496205,0.941657385,1.412486078,1.493349397,2.796239944,4.907046665,5.149782198,1.10903171,38.0361933,0.941657385,5.159932568,455,229.8172397,618.99,236.8197638,65,30.3582174,17.40787666,121.2001976,80.71722981,25.16452329,33.87171159,4.596529639,0,134.3503231,0.098494776,4.75,17.14780225,9.694571573,20.23996234,11.79065156,0,0,18.86277829,0,0,7.62892777,0,8.800615109,0,0.083156206,30.01638934,17.90899274,32.53526328,0.594785794,1.66890853,22.43988893,0.578846501,0.05362756,2.700781624,0,0,0,0,0,47.08286927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.08286927,0,0,0.858021844,2.977720374,3.459112585,1.68207897,0.121278621,0.009416574,27.51089354,61.89271037,0.184737633,41.19208546,4.090492506
3917198,3917198_1953,1953,73.26898592,20.25933127,34.08345382,14.67529068,40.60608387,15.91152422,0.131641999,6.540808481,2.753665949,22.94901693,71.46481526,29.81101654,52.47007414,40.30858825,30.61445009,6.957334994,18.55415994,27.25017028,12.0688326,4.838977661,5.964871616,1.205930341,1.919757616,0.672045132,1.87806257,3.146303825,4.603209102,8.520457212,7.751015359,8.178767142,3.764314562,2.124293106,0.422358377,-0.867488703,0.878424765,-0.032149497,2.70652627,4.848793271,5.367351655,9.086676428,8.041756682,8.133542497,40.27216139,39.85715613,31.74943939,19.19046283,19.31973398,9.492164003,4.354001894,2.498735369,1.22269857,1.688427374,14.0621495,15.58542931,15.96546214,33.17460556,29.64787967,33.37056473,26.40764408,15.84227231,7.843127468,3.860640418,2.10654724,332.4556349,124.2248487,127.611771,71.19289877,9.42611643,322.8645785,123.3931125,52.76166522,22.87268188,655.3202134,355.3283168,385.2173002,455.8487474,199.2925597,31.33600618,111.8787569,48.0023608,8.075435832,174.2374286,78.78794737,75.62048113,13.81031513,373.5299883,213.1028749,274.9130409,278.0805071,44.18651434,6.310966044,3.79773309,9.627575496,24.45023971,42.84662135,-0.021213435,12.9226712,25.26197561,87.03313569,69.44848995,57.10918554,44.16530091,155.147,8.953380078,764.0312298,878.13,2524.2,1646.07,4,0,0,0,0,0,0,0,0,0,0,0,0.229708909,0.001674441,0.302433153,19.63664189,0,26.91241088,0,0,0,536.77,292.1326045,9.88,6.9616,0.754579918,6.659591374,4.91912782,6,47.67271353,82.55,4.449870599,3.935237756,4.497782859,3.242925931,2.870060695,2.339496205,0.941657385,1.412486078,1.493349397,2.796239944,4.907046665,5.149782198,1.10903171,38.0361933,0.941657385,5.159932568,455,229.8172397,618.99,236.8197638,65,30.3582174,17.40787666,121.2001976,80.71722981,25.16452329,33.87171159,4.596529639,0,134.3503231,0.098494776,4.75,17.14780225,9.694571573,20.23996234,11.79065156,0,0,18.86277829,0,0,7.62892777,0,8.800615109,0,0.083156206,30.01638934,17.90899274,32.53526328,0.594785794,1.66890853,22.43988893,0.578846501,0.05362756,2.700781624,0,0,0,0,0,47.08286927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.08286927,0,0,0.858021844,2.977720374,3.459112585,1.68207897,0.121278621,0.009416574,27.51089354,61.89271037,0.184737633,41.19208546,4.090492506
3917198,3917198_1954,1954,87.27189683,38.82184748,25.77307648,21.19599613,2.876837633,23.14831069,0.220462371,15.1734601,4.919826262,7.418618562,25.84497122,41.0384718,73.26898592,20.25933127,34.08345382,14.67529068,40.60608387,15.91152422,0.131641999,6.540808481,2.753665949,0.383924296,2.332213105,0.605156819,2.63152404,5.228664417,5.111688127,8.34926332,7.020522792,6.221725121,3.803702154,1.711980402,-0.262418556,1.205930341,1.919757616,0.672045132,1.87806257,3.146303825,4.603209102,8.520457212,7.751015359,8.178767142,39.82559886,42.1456025,27.84699659,16.95240602,8.177284982,5.172724942,2.01737745,1.762330427,0.745740215,0.619177984,1.19372983,3.862897617,40.27216139,39.85715613,31.74943939,19.19046283,19.31973398,9.492164003,4.354001894,2.498735369,1.22269857,293.7037756,74.30206158,151.8668208,47.22114446,20.31374874,332.4556349,127.611771,71.19289877,9.42611643,626.1594105,303.129892,364.8966743,421.3155466,150.3218674,5.675805432,109.8181979,30.30241595,4.525448093,199.2925597,111.8787569,48.0023608,8.075435832,349.6144271,158.3973033,198.3242282,262.2006243,43.13794604,5.253264,3.32129422,12.97187658,21.59151123,44.18651434,3.79773309,9.627575496,24.45023971,87.32446038,67.58818575,52.76552153,46.93567913,155.147,8.953380078,764.0312298,878.13,2524.2,1646.07,4,0,0,0,0,0,0,0,0,0,0,0,0.229708909,0.001674441,0.302433153,19.63664189,0,26.91241088,0,0,0,536.77,292.1326045,9.88,6.9616,0.754579918,6.659591374,4.91912782,6,47.67271353,82.55,4.449870599,3.935237756,4.497782859,3.242925931,2.870060695,2.339496205,0.941657385,1.412486078,1.493349397,2.796239944,4.907046665,5.149782198,1.10903171,38.0361933,0.941657385,5.159932568,455,229.8172397,618.99,236.8197638,65,30.3582174,17.40787666,121.2001976,80.71722981,25.16452329,33.87171159,4.596529639,0,134.3503231,0.098494776,4.75,17.14780225,9.694571573,20.23996234,11.79065156,0,0,18.86277829,0,0,7.62892777,0,8.800615109,0,0.083156206,30.01638934,17.90899274,32.53526328,0.594785794,1.66890853,22.43988893,0.578846501,0.05362756,2.700781624,0,0,0,0,0,47.08286927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.08286927,0,0,0.858021844,2.977720374,3.459112585,1.68207897,0.121278621,0.009416574,27.51089354,61.89271037,0.184737633,41.19208546,4.090492506
3917198,3917198_1955,1955,21.6138612,9.723235777,15.14520689,17.62615925,2.017381759,2.659550102,3.623630929,1.66109408,10.34700321,17.03231325,69.45454262,128.2213824,87.27189683,38.82184748,25.77307648,21.19599613,2.876837633,23.14831069,0.220462371,15.1734601,4.919826262,-0.775372194,0.503547899,0.494348672,0.7078153,4.148707905,6.321891241,7.39052698,8.388011374,7.044481775,4.537759674,0.672708402,0.400068039,0.383924296,2.332213105,0.605156819,2.63152404,5.228664417,5.111688127,8.34926332,7.020522792,6.221725121,5.560718107,8.308112734,7.081116385,6.627069274,3.333299021,1.748524273,0.988142535,0.485085018,0.718145873,0.951069953,6.476285556,41.79029185,39.82559886,42.1456025,27.84699659,16.95240602,8.177284982,5.172724942,2.01737745,1.762330427,0.745740215,299.1253615,214.7082383,46.48230387,22.30309111,15.63172822,293.7037756,151.8668208,47.22114446,20.31374874,592.829137,319.4391102,346.3465059,450.9921822,84.06786058,49.21764736,20.94994723,11.70889257,2.191373426,150.3218674,109.8181979,30.30241595,4.525448093,234.389728,88.59330867,114.3702765,193.8860585,39.83449507,5.610536115,0.222524376,11.17841445,22.82302013,43.13794604,3.32129422,12.97187658,21.59151123,82.9724411,61.4260063,52.80637165,43.15578929,155.147,8.953380078,764.0312298,878.13,2524.2,1646.07,4,0,0,0,0,0,0,0,0,0,0,0,0.229708909,0.001674441,0.302433153,19.63664189,0,26.91241088,0,0,0,536.77,292.1326045,9.88,6.9616,0.754579918,6.659591374,4.91912782,6,47.67271353,82.55,4.449870599,3.935237756,4.497782859,3.242925931,2.870060695,2.339496205,0.941657385,1.412486078,1.493349397,2.796239944,4.907046665,5.149782198,1.10903171,38.0361933,0.941657385,5.159932568,455,229.8172397,618.99,236.8197638,65,30.3582174,17.40787666,121.2001976,80.71722981,25.16452329,33.87171159,4.596529639,0,134.3503231,0.098494776,4.75,17.14780225,9.694571573,20.23996234,11.79065156,0,0,18.86277829,0,0,7.62892777,0,8.800615109,0,0.083156206,30.01638934,17.90899274,32.53526328,0.594785794,1.66890853,22.43988893,0.578846501,0.05362756,2.700781624,0,0,0,0,0,47.08286927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.08286927,0,0,0.858021844,2.977720374,3.459112585,1.68207897,0.121278621,0.009416574,27.51089354,61.89271037,0.184737633,41.19208546,4.090492506
3917198,3917198_1956,1956,86.47319718,56.57851672,6.485278664,6.83026569,43.55369487,14.45455142,8.602963046,3.732129498,9.04297649,50.8053972,4.852498581,26.31899192,21.6138612,9.723235777,15.14520689,17.62615925,2.017381759,2.659550102,3.623630929,1.66109408,10.34700321,0.554851283,0.076365854,0.709051071,2.692116388,4.799764353,5.602914399,8.827106662,7.595451552,7.174195206,3.546585842,0.670352423,-0.102530385,-0.775372194,0.503547899,0.494348672,0.7078153,4.148707905,6.321891241,7.39052698,8.388011374,7.044481775,55.03192575,47.06329635,34.43320394,27.26081495,28.14611837,13.70489947,6.919948561,3.431136869,2.072703486,3.863743153,0.780655926,4.340605367,5.560718107,8.308112734,7.081116385,6.627069274,3.333299021,1.748524273,0.988142535,0.485085018,0.718145873,317.7304613,81.97688771,149.5369926,64.83851198,21.37806903,299.1253615,46.48230387,22.30309111,15.63172822,616.8558227,333.3621895,340.0335524,364.2127652,227.0490522,8.985004446,136.528426,69.11183279,12.42378892,84.06786058,20.94994723,11.70889257,2.191373426,311.1169128,229.2404256,238.7579448,247.9989994,42.14622465,4.114407879,1.340268209,13.09479514,23.59675342,39.83449507,0.222524376,11.17841445,22.82302013,81.98071972,64.96924478,53.3246391,42.36874903,155.147,8.953380078,764.0312298,878.13,2524.2,1646.07,4,0,0,0,0,0,0,0,0,0,0,0,0.229708909,0.001674441,0.302433153,19.63664189,0,26.91241088,0,0,0,536.77,292.1326045,9.88,6.9616,0.754579918,6.659591374,4.91912782,6,47.67271353,82.55,4.449870599,3.935237756,4.497782859,3.242925931,2.870060695,2.339496205,0.941657385,1.412486078,1.493349397,2.796239944,4.907046665,5.149782198,1.10903171,38.0361933,0.941657385,5.159932568,455,229.8172397,618.99,236.8197638,65,30.3582174,17.40787666,121.2001976,80.71722981,25.16452329,33.87171159,4.596529639,0,134.3503231,0.098494776,4.75,17.14780225,9.694571573,20.23996234,11.79065156,0,0,18.86277829,0,0,7.62892777,0,8.800615109,0,0.083156206,30.01638934,17.90899274,32.53526328,0.594785794,1.66890853,22.43988893,0.578846501,0.05362756,2.700781624,0,0,0,0,0,47.08286927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.08286927,0,0,0.858021844,2.977720374,3.459112585,1.68207897,0.121278621,0.009416574,27.51089354,61.89271037,0.184737633,41.19208546,4.090492506
3917198,3917198_1957,1957,40.58712375,58.03671682,65.06059314,21.13244041,32.47655935,2.076972496,1.623714323,2.004627836,45.70083188,42.99531199,44.33173492,59.80784562,86.47319718,56.57851672,6.485278664,6.83026569,43.55369487,14.45455142,8.602963046,3.732129498,9.04297649,-1.319819191,1.986502144,1.410655531,2.308794,4.630750822,6.687118436,7.94875382,7.414107866,7.91864721,3.382663944,0.292302841,0.426824584,0.554851283,0.076365854,0.709051071,2.692116388,4.799764353,5.602914399,8.827106662,7.595451552,7.174195206,4.802209645,38.3136417,45.95680261,27.1416373,17.79664912,8.189027947,4.122498854,2.120081118,3.302059821,5.305843426,13.52429256,29.17403904,55.03192575,47.06329635,34.43320394,27.26081495,28.14611837,13.70489947,6.919948561,3.431136869,2.072703486,415.8344725,147.1348925,163.6844337,55.68597225,49.32917404,317.7304613,149.5369926,64.83851198,21.37806903,733.5649338,437.2125416,480.6729845,565.3714651,199.7487831,48.00417502,89.07265396,53.12731436,9.544639793,227.0490522,136.528426,69.11183279,12.42378892,426.7978353,212.1725721,268.8606159,336.2772092,43.08730201,4.101791369,2.077338484,13.62666326,23.2815089,42.14622465,1.340268209,13.09479514,23.59675342,85.23352666,66.68405543,56.18209715,44.42757022,155.147,8.953380078,764.0312298,878.13,2524.2,1646.07,4,0,0,0,0,0,0,0,0,0,0,0,0.229708909,0.001674441,0.302433153,19.63664189,0,26.91241088,0,0,0,536.77,292.1326045,9.88,6.9616,0.754579918,6.659591374,4.91912782,6,47.67271353,82.55,4.449870599,3.935237756,4.497782859,3.242925931,2.870060695,2.339496205,0.941657385,1.412486078,1.493349397,2.796239944,4.907046665,5.149782198,1.10903171,38.0361933,0.941657385,5.159932568,455,229.8172397,618.99,236.8197638,65,30.3582174,17.40787666,121.2001976,80.71722981,25.16452329,33.87171159,4.596529639,0,134.3503231,0.098494776,4.75,17.14780225,9.694571573,20.23996234,11.79065156,0,0,18.86277829,0,0,7.62892777,0,8.800615109,0,0.083156206,30.01638934,17.90899274,32.53526328,0.594785794,1.66890853,22.43988893,0.578846501,0.05362756,2.700781624,0,0,0,0,0,47.08286927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.08286927,0,0,0.858021844,2.977720374,3.459112585,1.68207897,0.121278621,0.009416574,27.51089354,61.89271037,0.184737633,41.19208546,4.090492506
3917198,3917198_1958,1958,64.13923231,95.43035188,35.11789111,41.96345194,25.74015462,47.10625038,21.67153151,10.63108406,13.1322751,7.354716511,18.84944914,20.64822159,40.58712375,58.03671682,65.06059314,21.13244041,32.47655935,2.076972496,1.623714323,2.004627836,45.70083188,0.645590512,2.845411737,0.329225993,1.945466179,5.587584661,6.256064688,9.019589614,9.158811571,7.172588227,4.968222348,1.368889472,1.396830562,-1.319819191,1.986502144,1.410655531,2.308794,4.630750822,6.687118436,7.94875382,7.414107866,7.91864721,42.81634252,69.94346921,43.77762569,36.4519801,20.10190435,15.03668174,7.422896525,3.700506405,2.239187057,1.157858788,0.972398344,1.140882863,4.802209645,38.3136417,45.95680261,27.1416373,17.79664912,8.189027947,4.122498854,2.120081118,3.302059821,401.7846101,46.85238724,194.6874753,114.8098569,45.43489067,415.8344725,163.6844337,55.68597225,49.32917404,817.6190827,451.1137842,457.4705824,565.4690438,244.7617336,3.271139995,156.5374374,71.59056619,13.36258999,199.7487831,89.07265396,53.12731436,9.544639793,444.5105167,254.3063734,297.8890479,333.8343875,50.69427557,7.733942383,3.820228242,13.78911553,25.35098941,43.08730201,2.077338484,13.62666326,23.2815089,93.78157757,73.97578446,64.32093882,52.77161405,155.147,8.953380078,764.0312298,878.13,2524.2,1646.07,4,0,0,0,0,0,0,0,0,0,0,0,0.229708909,0.001674441,0.302433153,19.63664189,0,26.91241088,0,0,0,536.77,292.1326045,9.88,6.9616,0.754579918,6.659591374,4.91912782,6,47.67271353,82.55,4.449870599,3.935237756,4.497782859,3.242925931,2.870060695,2.339496205,0.941657385,1.412486078,1.493349397,2.796239944,4.907046665,5.149782198,1.10903171,38.0361933,0.941657385,5.159932568,455,229.8172397,618.99,236.8197638,65,30.3582174,17.40787666,121.2001976,80.71722981,25.16452329,33.87171159,4.596529639,0,134.3503231,0.098494776,4.75,17.14780225,9.694571573,20.23996234,11.79065156,0,0,18.86277829,0,0,7.62892777,0,8.800615109,0,0.083156206,30.01638934,17.90899274,32.53526328,0.594785794,1.66890853,22.43988893,0.578846501,0.05362756,2.700781624,0,0,0,0,0,47.08286927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.08286927,0,0,0.858021844,2.977720374,3.459112585,1.68207897,0.121278621,0.009416574,27.51089354,61.89271037,0.184737633,41.19208546,4.090492506
